Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate:,Margin of Error!!Total:!!Less than high school graduate:,Estimate!!Total:!!Less than high school graduate:!!In labor force:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Less than high school graduate:!!Not in labor force,Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force,Estimate!!Total:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!High school graduate (includes equivalency):,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Some college or associate's degree:,Margin of Error!!Total:!!Some college or associate's degree:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Some college or associate's degree:!!Not in labor force,Margin of Error!!Total:!!Some college or associate's degree:!!Not in labor force,Estimate!!Total:!!Bachelor's degree or higher:,Margin of Error!!Total:!!Bachelor's degree or higher:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Bachelor's degree or higher:!!Not in labor force,Margin of Error!!Total:!!Bachelor's degree or higher:!!Not in labor force
ZCTA5 22718,414,221,79,88,37,36,0,13,37,36,37,36,0,13,42,79,169,128,82,60,0,13,82,60,82,60,0,13,87,77,67,54,55,49,0,13,55,49,55,49,0,13,12,18,99,102,30,28,0,13,30,28,30,28,0,13,69,103
ZCTA5 22719,26,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,40,26,40,0,13,26,40,26,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22720,591,204,18,21,9,14,0,13,9,14,9,14,0,13,9,16,254,144,243,142,0,13,243,142,243,142,0,13,11,17,176,101,141,92,0,13,141,92,141,92,0,13,35,23,143,88,103,83,8,12,95,82,95,82,0,13,40,31
ZCTA5 22722,139,102,0,13,0,13,0,13,0,13,0,13,0,13,0,13,68,74,59,73,0,13,59,73,33,41,26,33,9,15,71,63,71,63,0,13,71,63,71,63,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22723,14,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,21,14,21,0,13,14,21,14,21,0,13,0,13
ZCTA5 22724,1252,413,50,36,50,36,0,13,50,36,50,36,0,13,0,13,259,164,259,164,0,13,259,164,243,164,16,26,0,13,520,263,407,179,0,13,407,179,378,179,29,35,113,112,423,187,395,164,0,13,395,164,395,164,0,13,28,47
ZCTA5 22726,536,226,9,17,9,17,0,13,9,17,9,17,0,13,0,13,307,133,277,131,0,13,277,131,231,112,46,43,30,32,185,117,89,76,0,13,89,76,74,63,15,21,96,93,35,32,35,32,0,13,35,32,35,32,0,13,0,13
ZCTA5 22727,3081,358,282,150,194,162,0,18,194,162,194,162,0,18,88,58,1224,303,918,277,0,18,918,277,909,277,9,18,306,167,830,205,732,207,0,18,732,207,732,207,0,18,98,77,745,168,568,144,0,18,568,144,568,144,0,18,177,91
ZCTA5 22728,1329,231,115,65,86,59,0,13,86,59,86,59,0,13,29,34,444,146,354,126,0,13,354,126,354,126,0,13,90,52,471,118,356,92,0,13,356,92,356,92,0,13,115,62,299,123,284,120,0,13,284,120,284,120,0,13,15,15
ZCTA5 22729,1146,183,309,55,10,14,0,13,10,14,10,14,0,13,299,56,554,123,80,56,0,13,80,56,80,56,0,13,474,100,238,85,24,23,0,13,24,23,24,23,0,13,214,78,45,29,5,10,0,13,5,10,5,10,0,13,40,24
ZCTA5 22730,86,90,0,13,0,13,0,13,0,13,0,13,0,13,0,13,40,52,40,52,0,13,40,52,40,52,0,13,0,13,46,50,46,50,0,13,46,50,46,50,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22731,12,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,21,12,21,0,13,12,21,12,21,0,13,0,13
ZCTA5 22732,65,67,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,65,67,52,54,0,13,52,54,52,54,0,13,13,21
ZCTA5 22733,694,228,76,60,62,55,0,13,62,55,62,55,0,13,14,18,298,144,271,145,0,13,271,145,271,145,0,13,27,33,148,100,113,94,0,13,113,94,113,94,0,13,35,32,172,90,172,90,0,13,172,90,172,90,0,13,0,13
ZCTA5 22734,1981,306,419,178,350,163,0,13,350,163,315,151,35,47,69,60,571,157,510,149,0,13,510,149,493,149,17,18,61,34,608,150,509,139,0,13,509,139,509,139,0,13,99,70,383,126,347,117,3,5,344,116,332,116,12,16,36,25
ZCTA5 22735,1330,290,243,144,171,109,0,13,171,109,171,109,0,13,72,89,550,233,409,159,0,13,409,159,409,159,0,13,141,119,422,176,354,168,0,13,354,168,343,166,11,17,68,57,115,60,101,55,0,13,101,55,101,55,0,13,14,22
ZCTA5 22736,508,244,118,89,41,40,0,13,41,40,41,40,0,13,77,53,117,81,48,52,0,13,48,52,48,52,0,13,69,89,222,145,194,142,0,13,194,142,194,142,0,13,28,34,51,51,51,51,0,13,51,51,12,21,39,57,0,13
ZCTA5 22737,1700,396,224,118,194,115,0,13,194,115,163,106,31,35,30,35,753,210,571,193,0,13,571,193,544,190,27,34,182,72,410,181,301,132,0,13,301,132,286,125,15,25,109,110,313,162,267,143,0,13,267,143,267,143,0,13,46,63
ZCTA5 22738,620,254,22,30,0,13,0,13,0,13,0,13,0,13,22,30,94,71,94,71,0,13,94,71,94,71,0,13,0,13,272,167,210,142,0,13,210,142,176,112,34,53,62,56,232,152,218,152,0,13,218,152,218,152,0,13,14,24
ZCTA5 22740,461,153,29,30,29,30,0,13,29,30,29,30,0,13,0,13,223,104,214,99,0,13,214,99,173,96,41,46,9,15,85,58,85,58,0,13,85,58,85,58,0,13,0,13,124,63,108,62,0,13,108,62,108,62,0,13,16,19
ZCTA5 22741,102,87,40,62,40,62,0,13,40,62,40,62,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,22,14,22,0,13,14,22,14,22,0,13,0,13,48,44,25,29,0,13,25,29,25,29,0,13,23,22
ZCTA5 22742,1043,269,119,71,82,48,0,13,82,48,82,48,0,13,37,30,440,172,354,157,0,13,354,157,346,157,8,14,86,49,293,121,151,56,0,13,151,56,151,56,0,13,142,117,191,71,147,65,0,13,147,65,147,65,0,13,44,34
ZCTA5 22743,54,70,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,54,70,32,50,0,13,32,50,32,50,0,13,22,37
ZCTA5 22747,538,187,63,56,54,55,0,13,54,55,54,55,0,13,9,13,118,76,78,70,0,13,78,70,78,70,0,13,40,40,63,49,43,43,0,13,43,43,43,43,0,13,20,33,294,146,230,111,0,13,230,111,230,111,0,13,64,54
ZCTA5 22749,114,84,0,13,0,13,0,13,0,13,0,13,0,13,0,13,25,37,25,37,0,13,25,37,25,37,0,13,0,13,27,30,13,18,0,13,13,18,13,18,0,13,14,24,62,77,62,77,0,13,62,77,62,77,0,13,0,13
ZCTA5 22801,16269,876,1834,424,1519,392,0,27,1519,392,1470,389,49,47,315,140,3420,589,2549,463,0,27,2549,463,2529,464,20,22,871,254,3686,431,2837,419,0,27,2837,419,2713,415,124,99,849,229,7329,668,6412,617,11,16,6401,618,6279,602,122,78,917,204
ZCTA5 22802,16137,952,3170,620,2168,473,0,27,2168,473,2073,469,95,91,1002,358,5383,696,4057,466,0,27,4057,466,3825,461,232,140,1326,416,3128,424,2460,381,10,16,2450,382,2353,381,97,79,668,170,4456,590,3906,535,0,27,3906,535,3776,517,130,80,550,166
ZCTA5 22807,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22810,262,128,0,13,0,13,0,13,0,13,0,13,0,13,0,13,82,65,51,48,0,13,51,48,51,48,0,13,31,41,98,95,98,95,0,13,98,95,98,95,0,13,0,13,82,59,82,59,0,13,82,59,82,59,0,13,0,13
ZCTA5 22811,287,147,55,61,28,44,0,13,28,44,19,30,9,15,27,42,158,99,158,99,0,13,158,99,158,99,0,13,0,13,24,26,21,25,0,13,21,25,21,25,0,13,3,7,50,44,37,38,0,13,37,38,37,38,0,13,13,25
ZCTA5 22812,3543,345,261,108,157,82,0,18,157,82,157,82,0,18,104,51,978,228,789,219,0,18,789,219,778,219,11,20,189,97,834,237,720,239,0,18,720,239,612,186,108,112,114,67,1470,276,1311,255,0,18,1311,255,1307,255,4,6,159,77
ZCTA5 22815,4629,422,891,243,643,183,0,18,643,183,569,165,74,77,248,111,1916,304,1593,267,0,18,1593,267,1515,248,78,68,323,130,969,198,868,192,0,18,868,192,857,191,11,15,101,48,853,199,773,196,0,18,773,196,764,194,9,14,80,45
ZCTA5 22820,138,116,0,13,0,13,0,13,0,13,0,13,0,13,0,13,64,68,64,68,0,13,64,68,46,48,18,31,0,13,74,66,74,66,0,13,74,66,74,66,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22821,3055,488,718,327,599,319,0,18,599,319,599,319,0,18,119,49,1049,245,829,185,0,18,829,185,828,186,1,2,220,114,670,195,569,184,4,8,565,184,565,184,0,18,101,58,618,157,563,147,0,18,563,147,547,147,16,24,55,36
ZCTA5 22824,3247,360,225,95,128,72,0,18,128,72,128,72,0,18,97,62,1534,251,1275,243,0,18,1275,243,1232,241,43,38,259,119,830,232,669,220,0,18,669,220,633,200,36,49,161,80,658,199,578,183,0,18,578,183,578,183,0,18,80,54
ZCTA5 22827,5527,370,806,210,477,167,7,12,470,168,470,168,0,20,329,130,2419,296,1885,274,0,20,1885,274,1830,265,55,51,534,141,1623,299,1458,276,0,20,1458,276,1458,276,0,20,165,81,679,166,615,165,0,20,615,165,613,164,2,4,64,42
ZCTA5 22830,1064,274,242,115,195,109,0,13,195,109,195,109,0,13,47,51,478,120,380,103,0,13,380,103,380,103,0,13,98,74,201,144,110,74,0,13,110,74,110,74,0,13,91,79,143,102,127,98,0,13,127,98,127,98,0,13,16,23
ZCTA5 22831,564,160,108,53,32,30,0,13,32,30,32,30,0,13,76,52,299,110,231,97,0,13,231,97,231,97,0,13,68,71,73,51,73,51,0,13,73,51,73,51,0,13,0,13,84,59,84,59,0,13,84,59,84,59,0,13,0,13
ZCTA5 22832,367,121,92,72,92,72,0,13,92,72,92,72,0,13,0,13,74,36,58,33,0,13,58,33,58,33,0,13,16,19,79,44,71,40,0,13,71,40,71,40,0,13,8,14,122,89,113,88,0,13,113,88,104,88,9,14,9,13
ZCTA5 22834,474,153,27,19,19,15,0,13,19,15,19,15,0,13,8,13,220,106,194,101,0,13,194,101,194,101,0,13,26,25,112,75,104,72,0,13,104,72,104,72,0,13,8,14,115,64,107,63,0,13,107,63,100,61,7,13,8,13
ZCTA5 22835,6273,351,865,283,510,229,0,20,510,229,460,200,50,77,355,159,2713,338,1871,285,0,20,1871,285,1847,289,24,26,842,304,1594,259,1417,237,0,20,1417,237,1363,245,54,60,177,98,1101,232,911,211,0,20,911,211,911,211,0,20,190,83
ZCTA5 22840,2803,376,119,59,57,42,0,18,57,42,57,42,0,18,62,42,750,189,650,176,0,18,650,176,641,168,9,19,100,61,681,160,488,129,0,18,488,129,485,129,3,6,193,107,1253,291,997,216,0,18,997,216,997,216,0,18,256,132
ZCTA5 22841,1515,300,219,81,177,71,0,13,177,71,177,71,0,13,42,35,592,234,531,221,0,13,531,221,496,208,35,47,61,52,345,115,306,109,0,13,306,109,306,109,0,13,39,41,359,141,319,130,0,13,319,130,319,130,0,13,40,33
ZCTA5 22842,2941,346,311,89,217,74,0,18,217,74,217,74,0,18,94,50,1319,261,966,214,11,19,955,213,882,182,73,76,353,106,876,185,741,177,0,18,741,177,715,173,26,21,135,64,435,127,380,114,0,18,380,114,369,111,11,16,55,49
ZCTA5 22843,1172,257,245,88,158,67,0,13,158,67,158,67,0,13,87,44,411,179,365,177,0,13,365,177,365,177,0,13,46,33,172,76,136,67,0,13,136,67,136,67,0,13,36,28,344,161,326,161,0,13,326,161,326,161,0,13,18,20
ZCTA5 22844,2279,263,206,110,154,96,0,13,154,96,147,98,7,13,52,44,939,260,496,142,0,13,496,142,496,142,0,13,443,190,561,156,440,125,0,13,440,125,429,125,11,20,121,92,573,178,474,157,0,13,474,157,474,157,0,13,99,59
ZCTA5 22845,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22846,840,255,62,47,51,44,0,13,51,44,51,44,0,13,11,17,233,116,178,111,0,13,178,111,165,100,13,19,55,48,202,111,118,66,0,13,118,66,118,66,0,13,84,78,343,164,343,164,10,16,333,163,332,159,1,16,0,13
ZCTA5 22847,424,161,37,33,23,25,0,13,23,25,23,25,0,13,14,22,158,74,121,65,0,13,121,65,121,65,0,13,37,29,160,136,151,135,0,13,151,135,145,135,6,12,9,14,69,44,61,42,0,13,61,42,61,42,0,13,8,13
ZCTA5 22849,2566,299,270,95,113,51,0,13,113,51,113,51,0,13,157,84,1203,245,919,217,0,13,919,217,913,216,6,11,284,116,844,192,701,156,0,13,701,156,677,157,24,30,143,94,249,111,246,111,0,13,246,111,184,92,62,73,3,6
ZCTA5 22850,763,265,71,41,49,29,0,13,49,29,49,29,0,13,22,32,293,131,236,131,0,13,236,131,229,128,7,14,57,47,218,115,163,77,0,13,163,77,157,76,6,10,55,86,181,174,109,100,0,13,109,100,109,100,0,13,72,80
ZCTA5 22851,3152,331,523,155,314,123,0,18,314,123,295,119,19,19,209,81,1600,282,1162,227,0,18,1162,227,1064,217,98,94,438,147,725,206,625,191,0,18,625,191,560,191,65,51,100,72,304,100,207,80,6,14,201,78,185,78,16,21,97,62
ZCTA5 22853,2399,384,339,114,213,76,0,13,213,76,193,62,20,31,126,72,1167,348,772,193,0,13,772,193,753,189,19,25,395,208,448,110,343,83,0,13,343,83,343,83,0,13,105,73,445,205,409,200,0,13,409,200,282,98,127,173,36,40
ZCTA5 22901,18299,878,1124,276,920,234,0,27,920,234,920,234,0,27,204,100,1864,394,1422,364,0,27,1422,364,1404,361,18,23,442,155,4353,540,3380,479,13,22,3367,476,3296,477,71,50,973,257,10958,780,9223,643,104,66,9119,647,9035,653,84,99,1735,335
ZCTA5 22902,15556,757,1439,356,873,329,0,24,873,329,732,238,141,162,566,148,3014,464,2108,407,16,27,2092,404,2070,400,22,33,906,228,2737,406,2383,384,7,13,2376,384,2243,371,133,96,354,130,8366,627,7636,573,52,44,7584,573,7561,572,23,28,730,194
ZCTA5 22903,18716,874,1262,310,983,273,0,27,983,273,901,264,82,75,279,107,2239,430,1675,402,19,34,1656,399,1504,378,152,99,564,185,2689,452,2275,388,26,44,2249,376,2024,358,225,148,414,164,12526,843,10028,758,84,58,9944,755,9598,658,346,246,2498,365
ZCTA5 22904,175,133,0,18,0,18,0,18,0,18,0,18,0,18,0,18,33,50,0,18,0,18,0,18,0,18,0,18,33,50,0,18,0,18,0,18,0,18,0,18,0,18,0,18,142,124,70,45,0,18,70,45,70,45,0,18,72,89
ZCTA5 22911,9532,718,643,323,415,184,0,20,415,184,415,184,0,20,228,192,1329,390,1129,338,0,20,1129,338,1049,308,80,85,200,130,1877,283,1607,274,22,36,1585,272,1525,273,60,67,270,116,5683,587,5215,581,57,49,5158,590,4992,563,166,110,468,125
ZCTA5 22920,1878,330,183,129,150,119,0,13,150,119,150,119,0,13,33,40,447,150,385,137,0,13,385,137,373,141,12,21,62,45,382,124,371,127,0,13,371,127,371,127,0,13,11,21,866,248,759,231,0,13,759,231,759,231,0,13,107,66
ZCTA5 22922,1169,258,175,123,97,110,0,13,97,110,97,110,0,13,78,61,463,176,361,144,0,13,361,144,348,140,13,22,102,72,167,119,64,56,0,13,64,56,64,56,0,13,103,102,364,162,343,155,0,13,343,155,343,155,0,13,21,35
ZCTA5 22923,3308,593,79,53,50,48,0,18,50,48,50,48,0,18,29,35,856,303,755,297,0,18,755,297,755,297,0,18,101,77,1048,359,787,296,0,18,787,296,766,293,21,22,261,191,1325,284,1168,289,7,13,1161,288,1148,288,13,22,157,81
ZCTA5 22931,111,54,3,5,3,5,0,13,3,5,3,5,0,13,0,13,9,12,9,12,0,13,9,12,9,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,99,53,99,53,0,13,99,53,96,52,3,6,0,13
ZCTA5 22932,4050,542,111,81,57,72,0,18,57,72,57,72,0,18,54,39,557,239,364,143,0,18,364,143,324,137,40,39,193,168,579,195,352,145,0,18,352,145,352,145,0,18,227,126,2803,406,2626,410,0,18,2626,410,2497,380,129,101,177,90
ZCTA5 22935,354,192,28,31,28,31,0,13,28,31,28,31,0,13,0,13,120,87,100,62,0,13,100,62,86,53,14,27,20,36,147,100,64,54,0,13,64,54,64,54,0,13,83,90,59,64,36,58,0,13,36,58,36,58,0,13,23,33
ZCTA5 22936,2527,337,150,94,128,78,0,13,128,78,128,78,0,13,22,34,263,166,178,110,0,13,178,110,178,110,0,13,85,83,334,131,306,125,0,13,306,125,306,125,0,13,28,30,1780,254,1486,239,14,22,1472,241,1427,246,45,39,294,103
ZCTA5 22937,1047,267,128,83,71,61,0,13,71,61,71,61,0,13,57,55,207,97,178,86,0,13,178,86,178,86,0,13,29,50,420,146,404,144,13,18,391,140,391,140,0,13,16,25,292,118,259,119,0,13,259,119,234,112,25,28,33,31
ZCTA5 22938,564,267,61,81,61,81,0,13,61,81,8,12,53,79,0,13,255,212,199,180,0,13,199,180,189,182,10,15,56,53,103,79,96,79,0,13,96,79,96,79,0,13,7,13,145,81,145,81,0,13,145,81,145,81,0,13,0,13
ZCTA5 22939,3276,489,217,155,83,80,0,18,83,80,83,80,0,18,134,107,780,216,559,191,0,18,559,191,537,192,22,19,221,119,1025,249,824,213,0,18,824,213,799,211,25,42,201,121,1254,255,1126,230,0,18,1126,230,1099,223,27,42,128,90
ZCTA5 22940,537,202,81,76,35,36,0,13,35,36,35,36,0,13,46,47,149,118,58,60,0,13,58,60,58,60,0,13,91,104,50,43,40,38,0,13,40,38,40,38,0,13,10,17,257,153,218,135,0,13,218,135,218,135,0,13,39,46
ZCTA5 22942,5491,709,382,130,265,108,0,20,265,108,265,108,0,20,117,73,1773,554,1332,384,0,20,1332,384,1213,348,119,112,441,251,2055,401,1792,379,0,20,1792,379,1764,375,28,37,263,131,1281,305,1098,282,0,20,1098,282,1077,276,21,26,183,94
ZCTA5 22943,255,133,37,42,37,42,0,13,37,42,37,42,0,13,0,13,46,47,46,47,0,13,46,47,46,47,0,13,0,13,27,19,6,10,0,13,6,10,6,10,0,13,21,16,145,87,133,90,0,13,133,90,133,90,0,13,12,18
ZCTA5 22946,111,58,16,28,0,13,0,13,0,13,0,13,0,13,16,28,36,31,19,22,0,13,19,22,19,22,0,13,17,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,59,50,48,57,0,13,48,57,24,29,24,31,11,19
ZCTA5 22947,1875,351,167,91,102,70,0,13,102,70,102,70,0,13,65,60,284,136,231,121,0,13,231,121,224,124,7,11,53,44,337,117,279,104,0,13,279,104,269,104,10,15,58,44,1087,323,652,150,0,13,652,150,598,144,54,54,435,282
ZCTA5 22948,12,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,20,12,20,0,13,12,20,12,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22949,695,234,137,138,8,12,0,13,8,12,8,12,0,13,129,137,319,154,99,67,0,13,99,67,99,67,0,13,220,163,126,89,116,88,0,13,116,88,116,88,0,13,10,16,113,91,91,72,0,13,91,72,91,72,0,13,22,33
ZCTA5 22952,1184,236,26,41,26,41,0,13,26,41,26,41,0,13,0,13,505,213,388,227,0,13,388,227,388,227,0,13,117,65,493,224,419,203,0,13,419,203,419,203,0,13,74,61,160,100,125,75,0,13,125,75,125,75,0,13,35,37
ZCTA5 22958,804,197,19,29,0,13,0,13,0,13,0,13,0,13,19,29,163,95,135,85,0,13,135,85,135,85,0,13,28,35,202,136,176,138,0,13,176,138,159,138,17,24,26,30,420,160,275,127,0,13,275,127,275,127,0,13,145,91
ZCTA5 22959,894,233,105,62,22,34,0,13,22,34,22,34,0,13,83,63,191,102,179,99,0,13,179,99,147,91,32,37,12,20,191,78,176,72,0,13,176,72,152,67,24,36,15,23,407,177,377,173,0,13,377,173,377,173,0,13,30,27
ZCTA5 22960,5509,431,597,158,350,189,0,20,350,189,312,171,38,57,247,111,2636,463,1932,344,0,20,1932,344,1838,347,94,75,704,289,1411,283,1177,278,0,20,1177,278,1132,283,45,52,234,84,865,228,680,208,0,20,680,208,680,208,0,20,185,98
ZCTA5 22963,8220,561,378,154,223,116,0,20,223,116,212,110,11,20,155,95,1709,330,1190,226,0,20,1190,226,1161,221,29,47,519,244,2655,321,2183,309,0,20,2183,309,2126,309,57,71,472,180,3478,451,2755,369,14,23,2741,368,2707,373,34,39,723,226
ZCTA5 22964,83,95,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,80,20,80,0,13,20,80,20,80,0,13,0,13,17,27,17,27,0,13,17,27,17,27,0,13,0,13,46,58,21,31,0,13,21,31,21,31,0,13,25,30
ZCTA5 22967,1013,299,147,86,110,78,0,13,110,78,110,78,0,13,37,37,626,246,437,203,0,13,437,203,386,178,51,72,189,99,78,54,78,54,0,13,78,54,68,52,10,17,0,13,162,128,112,78,0,13,112,78,74,58,38,57,50,64
ZCTA5 22968,5902,505,410,154,254,114,0,20,254,114,237,115,17,25,156,104,1678,390,1364,331,0,20,1364,331,1364,331,0,20,314,129,1798,300,1665,290,0,20,1665,290,1620,291,45,54,133,85,2016,255,1843,253,20,33,1823,261,1809,258,14,22,173,79
ZCTA5 22969,822,241,70,55,70,55,0,13,70,55,70,55,0,13,0,13,447,112,265,130,0,13,265,130,265,130,0,13,182,120,125,103,125,103,0,13,125,103,125,103,0,13,0,13,180,147,173,147,0,13,173,147,173,147,0,13,7,11
ZCTA5 22971,929,228,225,119,211,115,0,13,211,115,190,112,21,38,14,22,322,156,237,127,0,13,237,127,237,127,0,13,85,76,255,160,238,160,0,13,238,160,238,160,0,13,17,31,127,121,109,103,0,13,109,103,109,103,0,13,18,35
ZCTA5 22972,68,65,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,20,0,13,0,13,0,13,0,13,0,13,11,20,57,61,57,61,0,13,57,61,57,61,0,13,0,13
ZCTA5 22973,2557,385,460,182,335,162,0,18,335,162,308,156,27,47,125,82,919,265,674,245,0,18,674,245,584,185,90,111,245,110,693,199,492,159,1,6,491,159,462,155,29,28,201,91,485,121,411,114,0,18,411,114,400,111,11,13,74,39
ZCTA5 22974,3251,436,397,138,141,88,0,18,141,88,141,88,0,18,256,92,976,193,408,134,0,18,408,134,408,134,0,18,568,148,955,188,425,148,0,18,425,148,425,148,0,18,530,106,923,259,832,248,0,18,832,248,832,248,0,18,91,48
ZCTA5 22976,187,114,31,29,26,29,0,13,26,29,26,29,0,13,5,8,86,59,78,57,0,13,78,57,78,57,0,13,8,13,50,63,50,63,0,13,50,63,50,63,0,13,0,13,20,30,6,12,0,13,6,12,6,12,0,13,14,27
ZCTA5 22980,16519,544,1717,439,994,333,0,27,994,333,825,280,169,177,723,236,6220,760,4994,731,0,27,4994,731,4793,726,201,121,1226,276,4154,410,3553,365,41,59,3512,354,3369,349,143,93,601,189,4428,560,4004,538,25,39,3979,541,3960,539,19,24,424,159
ZCTA5 22989,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23002,5443,379,686,201,551,195,0,20,551,195,534,191,17,32,135,78,2404,307,1993,331,0,20,1993,331,1944,317,49,52,411,146,1243,267,1012,256,0,20,1012,256,980,256,32,44,231,135,1110,251,928,262,0,20,928,262,864,256,64,78,182,134
