Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate:,Margin of Error!!Total:!!Less than high school graduate:,Estimate!!Total:!!Less than high school graduate:!!In labor force:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Less than high school graduate:!!Not in labor force,Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force,Estimate!!Total:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!High school graduate (includes equivalency):,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Some college or associate's degree:,Margin of Error!!Total:!!Some college or associate's degree:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Some college or associate's degree:!!Not in labor force,Margin of Error!!Total:!!Some college or associate's degree:!!Not in labor force,Estimate!!Total:!!Bachelor's degree or higher:,Margin of Error!!Total:!!Bachelor's degree or higher:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Bachelor's degree or higher:!!Not in labor force,Margin of Error!!Total:!!Bachelor's degree or higher:!!Not in labor force
ZCTA5 20132,9655,561,563,221,402,205,0,20,402,205,402,205,0,20,161,107,1080,185,892,188,0,20,892,188,877,187,15,23,188,74,2418,309,2113,313,0,20,2113,313,2038,310,75,52,305,93,5594,624,4964,579,46,65,4918,577,4736,528,182,173,630,211
ZCTA5 20135,1873,364,31,36,31,36,0,12,31,36,31,36,0,12,0,12,456,120,416,116,0,12,416,116,416,116,0,12,40,41,427,111,371,103,0,12,371,103,355,100,16,21,56,43,959,303,896,292,0,12,896,292,896,292,0,12,63,54
ZCTA5 20136,16952,1206,753,313,668,289,0,27,668,289,668,289,0,27,85,72,2607,623,2192,515,8,14,2184,515,2052,505,132,82,415,302,3947,564,3402,561,0,27,3402,561,3232,532,170,172,545,177,9645,722,8819,667,132,95,8687,644,8443,631,244,110,826,336
ZCTA5 20137,967,237,69,45,47,30,0,13,47,30,37,26,10,15,22,22,164,77,91,46,0,13,91,46,91,46,0,13,73,63,226,68,200,63,0,13,200,63,200,63,0,13,26,22,508,174,382,127,0,13,382,127,378,127,4,7,126,91
ZCTA5 20139,37,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,24,15,24,0,13,15,24,15,24,0,13,0,13,22,35,22,35,0,13,22,35,22,35,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 20141,3737,415,30,25,24,23,0,18,24,23,24,23,0,18,6,9,461,172,380,167,0,18,380,167,380,167,0,18,81,51,935,186,762,166,0,18,762,166,727,157,35,32,173,80,2311,277,2070,267,8,12,2062,268,2014,260,48,34,241,97
ZCTA5 20143,332,122,11,21,0,13,0,13,0,13,0,13,0,13,11,21,70,63,48,69,0,13,48,69,48,69,0,13,22,25,135,72,112,67,0,13,112,67,112,67,0,13,23,23,116,52,79,44,0,13,79,44,79,44,0,13,37,30
ZCTA5 20144,464,178,82,120,38,57,0,13,38,57,38,57,0,13,44,70,118,66,97,60,0,13,97,60,97,60,0,13,21,31,115,56,92,52,0,13,92,52,92,52,0,13,23,22,149,72,122,69,0,13,122,69,107,65,15,23,27,23
ZCTA5 20147,35166,1306,1318,287,844,200,0,30,844,200,815,198,29,45,474,155,2647,393,2282,371,0,30,2282,371,2235,363,47,40,365,113,7078,578,5876,458,13,19,5863,458,5722,452,141,78,1202,338,24123,1224,21561,1113,195,105,21366,1104,20804,1064,562,237,2562,292
ZCTA5 20148,30428,1268,1009,370,468,269,0,30,468,269,430,254,38,44,541,283,1784,452,1556,434,18,28,1538,432,1508,422,30,35,228,88,3989,507,3325,477,7,12,3318,480,3187,453,131,136,664,193,23646,1188,21450,1127,120,114,21330,1117,20911,1105,419,154,2196,305
ZCTA5 20151,12230,735,1136,337,1000,318,0,24,1000,318,991,319,9,16,136,82,1838,426,1349,370,0,24,1349,370,1336,369,13,22,489,192,2327,358,1855,283,0,24,1855,283,1775,271,80,68,472,162,6929,565,6139,515,32,36,6107,515,5912,518,195,102,790,209
ZCTA5 20152,21284,1145,744,294,628,305,0,27,628,305,533,287,95,72,116,81,2185,513,1676,407,0,27,1676,407,1582,372,94,97,509,184,3457,444,3034,375,44,59,2990,376,2796,347,194,175,423,146,14898,989,13694,954,218,109,13476,963,13134,948,342,123,1204,265
ZCTA5 20155,18366,1068,505,181,432,161,0,27,432,161,419,161,13,21,73,58,2904,641,2087,492,0,27,2087,492,2076,494,11,18,817,273,4914,534,4118,468,81,52,4037,467,3956,459,81,51,796,243,10043,697,9028,664,62,61,8966,665,8833,656,133,73,1015,226
ZCTA5 20158,2324,567,58,55,20,18,0,18,20,18,20,18,0,18,38,50,186,82,130,67,0,18,130,67,130,67,0,18,56,38,601,187,487,182,0,18,487,182,463,183,24,27,114,46,1479,474,1400,476,120,192,1280,326,1257,327,23,24,79,35
ZCTA5 20164,22825,1071,4345,638,3569,559,0,27,3569,559,3408,525,161,127,776,265,4364,584,3806,523,12,23,3794,524,3633,519,161,88,558,178,5522,635,4755,582,30,42,4725,580,4556,557,169,131,767,194,8594,631,7690,589,45,42,7645,587,7326,546,319,197,904,184
ZCTA5 20165,18330,840,597,210,484,193,0,27,484,193,423,183,61,51,113,76,1537,299,1124,259,0,27,1124,259,1095,254,29,33,413,155,3483,417,2964,384,0,27,2964,384,2904,378,60,42,519,142,12713,825,11518,790,55,36,11463,793,11250,780,213,82,1195,216
ZCTA5 20166,7451,607,684,284,530,240,0,20,530,240,530,240,0,20,154,88,1184,275,959,232,0,20,959,232,950,234,9,15,225,130,1285,317,1184,297,6,10,1178,298,1178,298,0,20,101,77,4298,522,3973,502,11,19,3962,504,3926,503,36,35,325,112
ZCTA5 20169,12778,740,305,119,201,107,0,24,201,107,139,65,62,86,104,63,1300,335,1159,324,0,24,1159,324,1093,322,66,65,141,72,3394,359,2671,324,55,67,2616,324,2556,320,60,51,723,185,7779,655,6928,614,44,40,6884,610,6839,612,45,46,851,155
ZCTA5 20170,24943,1321,3513,683,3244,655,0,27,3244,655,3222,655,22,37,269,128,3333,491,2893,459,0,27,2893,459,2816,452,77,60,440,149,4036,502,3382,449,125,181,3257,407,3125,394,132,78,654,179,14061,996,12533,960,28,31,12505,961,12242,960,263,93,1528,216
ZCTA5 20171,29157,1193,764,253,549,193,0,30,549,193,549,193,0,30,215,165,2419,475,2062,462,21,34,2041,463,1931,464,110,127,357,118,3865,455,3109,437,16,24,3093,435,3027,429,66,51,756,147,22109,959,19563,930,109,71,19454,925,19240,896,214,101,2546,297
ZCTA5 20175,19962,1193,764,340,608,288,0,27,608,288,557,262,51,77,156,99,2948,601,2280,507,28,42,2252,507,2135,510,117,109,668,197,3725,430,2975,428,14,22,2961,431,2824,432,137,92,750,206,12525,945,10679,838,104,64,10575,835,10340,830,235,101,1846,315
ZCTA5 20176,27983,1188,1800,509,1331,483,0,30,1331,483,1212,463,119,129,469,180,3200,512,2729,484,0,30,2729,484,2709,476,20,30,471,162,6169,760,5406,724,85,85,5321,718,5259,695,62,79,763,247,16814,939,14871,971,53,43,14818,983,14552,972,266,112,1943,278
ZCTA5 20180,4152,432,172,90,138,81,0,18,138,81,138,81,0,18,34,39,746,216,601,214,0,18,601,214,470,104,131,184,145,59,968,168,824,148,7,11,817,147,804,145,13,21,144,63,2266,307,1915,239,0,18,1915,239,1829,228,86,63,351,131
ZCTA5 20181,4808,501,199,80,147,66,0,18,147,66,147,66,0,18,52,51,1337,353,989,234,0,18,989,234,981,235,8,13,348,248,1313,260,1040,227,0,18,1040,227,996,225,44,45,273,99,1959,274,1780,277,9,13,1771,278,1758,277,13,17,179,61
ZCTA5 20184,246,128,0,13,0,13,0,13,0,13,0,13,0,13,0,13,71,90,57,87,0,13,57,87,57,87,0,13,14,23,91,80,91,80,0,13,91,80,91,80,0,13,0,13,84,65,43,52,0,13,43,52,43,52,0,13,41,37
ZCTA5 20186,7744,526,413,214,297,195,0,20,297,195,257,192,40,47,116,94,1614,357,1256,306,21,35,1235,315,1193,322,42,66,358,127,2677,388,2316,384,20,30,2296,385,2237,381,59,49,361,138,3040,483,2587,451,0,20,2587,451,2470,427,117,96,453,149
ZCTA5 20187,9842,546,351,112,170,80,0,20,170,80,170,80,0,20,181,74,1640,331,1179,276,12,19,1167,275,1125,272,42,36,461,155,3157,363,2482,320,0,20,2482,320,2473,322,9,14,675,197,4694,431,4135,409,4,7,4131,408,4081,405,50,43,559,121
ZCTA5 20190,12183,960,329,176,297,175,0,24,297,175,297,175,0,24,32,22,956,190,733,175,16,25,717,173,622,154,95,73,223,98,1696,260,1446,213,0,24,1446,213,1440,213,6,9,250,136,9202,972,8359,914,16,25,8343,921,8147,899,196,111,843,218
ZCTA5 20191,16401,747,1045,239,863,208,0,27,863,208,846,206,17,21,182,102,2069,394,1624,335,0,27,1624,335,1518,309,106,107,445,167,3238,511,2682,461,0,27,2682,461,2590,466,92,67,556,212,10049,599,9011,545,43,40,8968,546,8683,527,285,141,1038,207
ZCTA5 20194,7384,526,55,43,55,43,0,20,55,43,55,43,0,20,0,20,298,112,239,106,0,20,239,106,239,106,0,20,59,38,923,220,721,196,7,10,714,195,708,193,6,11,202,75,6108,516,5390,503,38,44,5352,501,5191,495,161,71,718,156
ZCTA5 20197,1422,327,0,13,0,13,0,13,0,13,0,13,0,13,0,13,154,79,121,72,0,13,121,72,121,72,0,13,33,32,357,174,244,157,0,13,244,157,139,87,105,121,113,80,911,260,688,168,0,13,688,168,677,167,11,18,223,132
ZCTA5 20198,880,235,53,53,20,36,0,13,20,36,20,36,0,13,33,41,133,78,116,76,0,13,116,76,116,76,0,13,17,24,209,104,163,85,0,13,163,85,151,83,12,19,46,62,485,161,436,146,0,13,436,146,436,146,0,13,49,47
ZCTA5 22003,30480,1354,4043,712,3044,610,0,30,3044,610,2997,606,47,43,999,310,5036,629,3930,570,8,13,3922,573,3836,576,86,56,1106,256,6314,677,5230,557,56,50,5174,553,4956,522,218,93,1084,352,15087,796,13421,761,208,92,13213,743,12861,739,352,140,1666,294
ZCTA5 22015,23698,1014,860,205,712,187,0,27,712,187,580,163,132,109,148,64,2586,471,2130,425,8,14,2122,425,1964,439,158,77,456,151,5153,513,4112,465,46,34,4066,467,3905,458,161,97,1041,230,15099,741,13093,686,469,98,12624,706,12241,699,383,109,2006,229
ZCTA5 22025,10141,832,294,167,174,121,0,20,174,121,174,121,0,20,120,80,1567,368,1196,297,0,20,1196,297,1170,297,26,32,371,148,2864,430,2394,351,72,63,2322,344,2195,347,127,79,470,183,5416,618,4722,577,216,106,4506,557,4277,508,229,179,694,144
ZCTA5 22026,8404,791,836,243,526,177,0,20,526,177,487,174,39,42,310,127,2072,380,1672,355,10,17,1662,355,1597,360,65,51,400,139,2550,507,2059,454,51,43,2008,444,1903,423,105,77,491,172,2946,418,2825,403,19,24,2806,403,2746,410,60,70,121,76
ZCTA5 22027,1168,255,42,54,42,54,0,13,42,54,21,38,21,40,0,13,39,31,33,29,0,13,33,29,33,29,0,13,6,13,154,90,104,87,0,13,104,87,104,87,0,13,50,48,933,250,709,185,0,13,709,185,701,183,8,12,224,155
ZCTA5 22030,31325,1578,1816,286,1299,262,0,30,1299,262,1246,261,53,44,517,113,3296,477,2397,393,28,39,2369,399,2234,390,135,73,899,202,5160,537,3921,523,0,30,3921,523,3710,526,211,230,1239,243,21053,1479,18597,1393,231,104,18366,1381,18108,1376,258,97,2456,420
ZCTA5 22031,20820,1417,995,346,572,254,0,27,572,254,572,254,0,27,423,207,1581,408,1309,367,0,27,1309,367,1295,371,14,24,272,137,2833,592,2465,537,18,24,2447,533,2393,527,54,65,368,155,15411,1369,13684,1291,328,236,13356,1254,13127,1218,229,131,1727,372
ZCTA5 22032,16227,1110,538,153,292,96,0,27,292,96,292,96,0,27,246,111,1807,589,1456,561,0,27,1456,561,1376,557,80,64,351,149,2850,374,2261,348,27,29,2234,349,2111,340,123,72,589,147,11032,798,9663,663,206,78,9457,658,9153,659,304,98,1369,288
ZCTA5 22033,22739,955,550,224,462,208,0,27,462,208,451,208,11,17,88,61,1733,334,1401,286,0,27,1401,286,1340,278,61,55,332,139,4283,559,3457,493,75,75,3382,488,3250,479,132,100,826,220,16173,938,14125,860,79,42,14046,864,13749,830,297,120,2048,328
ZCTA5 22035,166,100,17,27,17,27,0,13,17,27,17,27,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,65,64,65,64,0,13,65,64,65,64,0,13,0,13,84,110,84,110,0,13,84,110,84,110,0,13,0,13
ZCTA5 22039,9125,866,130,96,78,64,0,20,78,64,78,64,0,20,52,50,571,246,460,253,0,20,460,253,433,248,27,41,111,62,1165,231,909,224,0,20,909,224,909,224,0,20,256,96,7259,752,6064,659,170,81,5894,664,5649,608,245,146,1195,329
ZCTA5 22041,15498,1050,3308,515,2146,401,0,24,2146,401,2057,409,89,59,1162,283,2246,442,1707,440,0,24,1707,440,1596,430,111,78,539,177,2763,416,2364,400,0,24,2364,400,2313,405,51,43,399,145,7181,589,6427,595,40,35,6387,592,6073,585,314,102,754,152
