Label (Grouping),Total
ZCTA5 23693,
    ZCTA5 23693,"23,814"
ZCTA5 23696,
    ZCTA5 23696,"3,805"
ZCTA5 23701,
    ZCTA5 23701,"24,629"
ZCTA5 23702,
    ZCTA5 23702,"12,239"
ZCTA5 23703,
    ZCTA5 23703,"26,388"
ZCTA5 23704,
    ZCTA5 23704,"19,505"
ZCTA5 23707,
    ZCTA5 23707,"14,316"
ZCTA5 23708,
    ZCTA5 23708,120
ZCTA5 23709,
    ZCTA5 23709,624
ZCTA5 23801,
    ZCTA5 23801,"9,874"
ZCTA5 23803,
    ZCTA5 23803,"44,377"
ZCTA5 23805,
    ZCTA5 23805,"19,656"
ZCTA5 23821,
    ZCTA5 23821,"1,778"
ZCTA5 23824,
    ZCTA5 23824,"7,021"
ZCTA5 23827,
    ZCTA5 23827,"1,273"
ZCTA5 23828,
    ZCTA5 23828,431
ZCTA5 23829,
    ZCTA5 23829,"2,473"
ZCTA5 23830,
    ZCTA5 23830,"1,678"
ZCTA5 23831,
    ZCTA5 23831,"37,216"
ZCTA5 23832,
    ZCTA5 23832,"39,640"
ZCTA5 23833,
    ZCTA5 23833,"2,147"
ZCTA5 23834,
    ZCTA5 23834,"26,635"
ZCTA5 23836,
    ZCTA5 23836,"14,643"
ZCTA5 23837,
    ZCTA5 23837,"4,109"
ZCTA5 23838,
    ZCTA5 23838,"16,997"
ZCTA5 23839,
    ZCTA5 23839,848
ZCTA5 23840,
    ZCTA5 23840,"1,642"
ZCTA5 23841,
    ZCTA5 23841,"3,509"
ZCTA5 23842,
    ZCTA5 23842,"7,103"
ZCTA5 23843,
    ZCTA5 23843,538
ZCTA5 23844,
    ZCTA5 23844,691
ZCTA5 23845,
    ZCTA5 23845,358
ZCTA5 23846,
    ZCTA5 23846,872
ZCTA5 23847,
    ZCTA5 23847,"12,768"
ZCTA5 23850,
    ZCTA5 23850,"1,081"
ZCTA5 23851,
    ZCTA5 23851,"13,258"
ZCTA5 23856,
    ZCTA5 23856,888
ZCTA5 23857,
    ZCTA5 23857,399
ZCTA5 23860,
    ZCTA5 23860,"32,139"
ZCTA5 23866,
    ZCTA5 23866,"2,189"
ZCTA5 23867,
    ZCTA5 23867,"5,298"
ZCTA5 23868,
    ZCTA5 23868,"6,379"
ZCTA5 23870,
    ZCTA5 23870,7
ZCTA5 23872,
    ZCTA5 23872,"2,322"
ZCTA5 23874,
    ZCTA5 23874,986
ZCTA5 23875,
    ZCTA5 23875,"11,791"
ZCTA5 23876,
    ZCTA5 23876,435
ZCTA5 23878,
    ZCTA5 23878,"1,162"
ZCTA5 23879,
    ZCTA5 23879,629
ZCTA5 23881,
    ZCTA5 23881,"1,876"
ZCTA5 23882,
    ZCTA5 23882,"2,219"
ZCTA5 23883,
    ZCTA5 23883,"2,169"
ZCTA5 23884,
    ZCTA5 23884,50
ZCTA5 23885,
    ZCTA5 23885,"2,779"
ZCTA5 23887,
    ZCTA5 23887,529
ZCTA5 23888,
    ZCTA5 23888,"2,124"
ZCTA5 23889,
    ZCTA5 23889,569
ZCTA5 23890,
    ZCTA5 23890,"3,988"
ZCTA5 23891,
    ZCTA5 23891,"1,917"
ZCTA5 23893,
    ZCTA5 23893,419
ZCTA5 23894,
    ZCTA5 23894,626
ZCTA5 23897,
    ZCTA5 23897,563
ZCTA5 23898,
    ZCTA5 23898,"2,186"
ZCTA5 23899,
    ZCTA5 23899,292
ZCTA5 23901,
    ZCTA5 23901,"14,967"
ZCTA5 23909,
    ZCTA5 23909,"1,329"
ZCTA5 23915,
    ZCTA5 23915,"1,196"
ZCTA5 23917,
    ZCTA5 23917,"2,704"
ZCTA5 23919,
    ZCTA5 23919,"2,310"
ZCTA5 23920,
    ZCTA5 23920,"3,182"
ZCTA5 23921,
    ZCTA5 23921,"2,060"
ZCTA5 23922,
    ZCTA5 23922,"4,300"
ZCTA5 23923,
    ZCTA5 23923,"2,474"
ZCTA5 23924,
    ZCTA5 23924,"5,538"
ZCTA5 23927,
    ZCTA5 23927,"4,483"
ZCTA5 23930,
    ZCTA5 23930,"5,231"
ZCTA5 23934,
    ZCTA5 23934,811
ZCTA5 23936,
    ZCTA5 23936,"7,850"
ZCTA5 23937,
    ZCTA5 23937,"1,841"
ZCTA5 23938,
    ZCTA5 23938,416
ZCTA5 23942,
    ZCTA5 23942,"1,123"
ZCTA5 23943,
    ZCTA5 23943,759
ZCTA5 23944,
    ZCTA5 23944,"3,620"
ZCTA5 23947,
    ZCTA5 23947,"4,119"
ZCTA5 23950,
    ZCTA5 23950,"3,482"
ZCTA5 23952,
    ZCTA5 23952,219
ZCTA5 23954,
    ZCTA5 23954,"2,030"
ZCTA5 23955,
    ZCTA5 23955,21
ZCTA5 23958,
    ZCTA5 23958,"3,261"
ZCTA5 23959,
    ZCTA5 23959,"1,127"
ZCTA5 23960,
    ZCTA5 23960,"1,823"
ZCTA5 23962,
    ZCTA5 23962,660
ZCTA5 23963,
    ZCTA5 23963,454
ZCTA5 23964,
    ZCTA5 23964,997
ZCTA5 23966,
    ZCTA5 23966,"2,449"
ZCTA5 23967,
    ZCTA5 23967,840
ZCTA5 23968,
    ZCTA5 23968,804
ZCTA5 23970,
    ZCTA5 23970,"8,002"
ZCTA5 23974,
    ZCTA5 23974,"4,700"
ZCTA5 23976,
    ZCTA5 23976,187
ZCTA5 24011,
    ZCTA5 24011,908
ZCTA5 24012,
    ZCTA5 24012,"30,037"
ZCTA5 24013,
    ZCTA5 24013,"7,835"
ZCTA5 24014,
    ZCTA5 24014,"16,869"
ZCTA5 24015,
    ZCTA5 24015,"15,973"
ZCTA5 24016,
    ZCTA5 24016,"9,371"
ZCTA5 24017,
    ZCTA5 24017,"23,902"
ZCTA5 24018,
    ZCTA5 24018,"39,144"
ZCTA5 24019,
    ZCTA5 24019,"27,630"
ZCTA5 24020,
    ZCTA5 24020,524
ZCTA5 24022,
    ZCTA5 24022,0
ZCTA5 24053,
    ZCTA5 24053,"2,356"
ZCTA5 24054,
    ZCTA5 24054,"6,208"
ZCTA5 24055,
    ZCTA5 24055,"12,236"
ZCTA5 24058,
    ZCTA5 24058,316
ZCTA5 24059,
    ZCTA5 24059,"1,037"
ZCTA5 24060,
    ZCTA5 24060,"46,755"
ZCTA5 24061,
    ZCTA5 24061,"9,836"
ZCTA5 24064,
    ZCTA5 24064,"5,017"
ZCTA5 24065,
    ZCTA5 24065,"6,267"
ZCTA5 24066,
    ZCTA5 24066,"4,787"
ZCTA5 24067,
    ZCTA5 24067,"2,400"
ZCTA5 24069,
    ZCTA5 24069,"1,805"
ZCTA5 24070,
    ZCTA5 24070,"1,375"
ZCTA5 24072,
    ZCTA5 24072,"1,450"
ZCTA5 24073,
    ZCTA5 24073,"32,093"
ZCTA5 24076,
    ZCTA5 24076,"1,050"
ZCTA5 24077,
    ZCTA5 24077,922
ZCTA5 24078,
    ZCTA5 24078,"7,062"
ZCTA5 24079,
    ZCTA5 24079,"1,631"
ZCTA5 24082,
    ZCTA5 24082,412
ZCTA5 24083,
    ZCTA5 24083,"3,814"
ZCTA5 24084,
    ZCTA5 24084,"10,894"
ZCTA5 24085,
    ZCTA5 24085,"2,220"
ZCTA5 24086,
    ZCTA5 24086,198
ZCTA5 24087,
    ZCTA5 24087,"3,604"
ZCTA5 24088,
    ZCTA5 24088,"4,805"
ZCTA5 24089,
    ZCTA5 24089,"2,388"
ZCTA5 24090,
    ZCTA5 24090,"4,712"
ZCTA5 24091,
    ZCTA5 24091,"7,416"
ZCTA5 24092,
    ZCTA5 24092,"2,999"
ZCTA5 24093,
    ZCTA5 24093,185
ZCTA5 24095,
    ZCTA5 24095,"4,275"
ZCTA5 24101,
    ZCTA5 24101,"6,490"
ZCTA5 24102,
    ZCTA5 24102,"1,508"
ZCTA5 24104,
    ZCTA5 24104,"3,551"
ZCTA5 24105,
    ZCTA5 24105,449
ZCTA5 24112,
    ZCTA5 24112,"30,978"
ZCTA5 24120,
    ZCTA5 24120,"1,858"
ZCTA5 24121,
    ZCTA5 24121,"10,537"
ZCTA5 24122,
    ZCTA5 24122,"1,624"
ZCTA5 24124,
    ZCTA5 24124,"4,370"
ZCTA5 24127,
    ZCTA5 24127,"3,980"
ZCTA5 24128,
    ZCTA5 24128,"1,767"
ZCTA5 24129,
    ZCTA5 24129,29
ZCTA5 24131,
    ZCTA5 24131,106
ZCTA5 24132,
    ZCTA5 24132,460
ZCTA5 24133,
    ZCTA5 24133,"2,345"
ZCTA5 24134,
    ZCTA5 24134,"5,638"
ZCTA5 24136,
    ZCTA5 24136,"3,259"
ZCTA5 24137,
    ZCTA5 24137,"2,506"
ZCTA5 24138,
    ZCTA5 24138,"1,445"
ZCTA5 24139,
    ZCTA5 24139,560
ZCTA5 24141,
    ZCTA5 24141,"20,308"
ZCTA5 24142,
    ZCTA5 24142,"2,608"
ZCTA5 24147,
    ZCTA5 24147,"1,088"
ZCTA5 24148,
    ZCTA5 24148,"7,633"
ZCTA5 24149,
    ZCTA5 24149,"3,632"
ZCTA5 24150,
    ZCTA5 24150,691
ZCTA5 24151,
    ZCTA5 24151,"18,785"
ZCTA5 24153,
    ZCTA5 24153,"38,728"
ZCTA5 24161,
    ZCTA5 24161,393
ZCTA5 24162,
    ZCTA5 24162,"2,254"
ZCTA5 24165,
    ZCTA5 24165,"1,655"
ZCTA5 24167,
    ZCTA5 24167,329
ZCTA5 24168,
    ZCTA5 24168,214
ZCTA5 24171,
    ZCTA5 24171,"8,090"
ZCTA5 24174,
    ZCTA5 24174,"2,362"
ZCTA5 24175,
    ZCTA5 24175,"8,165"
ZCTA5 24176,
    ZCTA5 24176,"1,527"
ZCTA5 24179,
    ZCTA5 24179,"19,024"
ZCTA5 24184,
    ZCTA5 24184,"4,582"
ZCTA5 24185,
    ZCTA5 24185,796
ZCTA5 24201,
    ZCTA5 24201,"16,267"
ZCTA5 24202,
    ZCTA5 24202,"12,716"
ZCTA5 24210,
    ZCTA5 24210,"17,284"
ZCTA5 24211,
    ZCTA5 24211,"9,864"
ZCTA5 24216,
    ZCTA5 24216,"2,441"
ZCTA5 24217,
    ZCTA5 24217,407
ZCTA5 24219,
    ZCTA5 24219,"10,429"
ZCTA5 24220,
    ZCTA5 24220,621
ZCTA5 24221,
    ZCTA5 24221,785
ZCTA5 24224,
    ZCTA5 24224,"5,438"
ZCTA5 24225,
    ZCTA5 24225,"1,674"
ZCTA5 24226,
    ZCTA5 24226,"1,260"
ZCTA5 24228,
    ZCTA5 24228,"6,418"
ZCTA5 24230,
    ZCTA5 24230,"7,708"
ZCTA5 24236,
    ZCTA5 24236,"2,984"
ZCTA5 24237,
    ZCTA5 24237,"1,108"
ZCTA5 24239,
    ZCTA5 24239,90
ZCTA5 24243,
    ZCTA5 24243,"1,867"
ZCTA5 24244,
    ZCTA5 24244,"5,398"
ZCTA5 24245,
    ZCTA5 24245,"1,000"
ZCTA5 24246,
    ZCTA5 24246,399
ZCTA5 24248,
    ZCTA5 24248,"2,181"
ZCTA5 24250,
    ZCTA5 24250,"1,209"
ZCTA5 24251,
    ZCTA5 24251,"8,405"
ZCTA5 24256,
    ZCTA5 24256,"3,124"
ZCTA5 24258,
    ZCTA5 24258,"1,259"
ZCTA5 24260,
    ZCTA5 24260,"5,072"
ZCTA5 24263,
    ZCTA5 24263,"5,770"
ZCTA5 24265,
    ZCTA5 24265,703
ZCTA5 24266,
    ZCTA5 24266,"8,705"
ZCTA5 24269,
    ZCTA5 24269,225
ZCTA5 24270,
    ZCTA5 24270,455
ZCTA5 24271,
    ZCTA5 24271,"2,538"
ZCTA5 24272,
    ZCTA5 24272,517
ZCTA5 24273,
    ZCTA5 24273,"5,730"
ZCTA5 24277,
    ZCTA5 24277,"6,463"
ZCTA5 24279,
    ZCTA5 24279,"4,693"
ZCTA5 24280,
    ZCTA5 24280,772
ZCTA5 24281,
    ZCTA5 24281,"2,279"
ZCTA5 24282,
    ZCTA5 24282,454
ZCTA5 24283,
    ZCTA5 24283,"2,133"
ZCTA5 24290,
    ZCTA5 24290,"1,777"
ZCTA5 24292,
    ZCTA5 24292,352
ZCTA5 24293,
    ZCTA5 24293,"9,442"
ZCTA5 24301,
    ZCTA5 24301,"14,040"
ZCTA5 24311,
    ZCTA5 24311,"1,705"
ZCTA5 24312,
    ZCTA5 24312,"2,161"
ZCTA5 24313,
    ZCTA5 24313,923
ZCTA5 24314,
    ZCTA5 24314,"1,332"
ZCTA5 24315,
    ZCTA5 24315,"3,548"
ZCTA5 24316,
    ZCTA5 24316,47
ZCTA5 24317,
    ZCTA5 24317,"3,756"
ZCTA5 24318,
    ZCTA5 24318,601
ZCTA5 24319,
    ZCTA5 24319,"6,500"
ZCTA5 24322,
    ZCTA5 24322,190
ZCTA5 24323,
    ZCTA5 24323,692
ZCTA5 24324,
    ZCTA5 24324,"2,012"
ZCTA5 24325,
    ZCTA5 24325,975
ZCTA5 24326,
    ZCTA5 24326,"1,019"
ZCTA5 24327,
    ZCTA5 24327,684
ZCTA5 24328,
    ZCTA5 24328,"1,999"
ZCTA5 24330,
    ZCTA5 24330,"3,056"
ZCTA5 24333,
    ZCTA5 24333,"17,309"
ZCTA5 24340,
    ZCTA5 24340,"5,319"
ZCTA5 24343,
    ZCTA5 24343,"8,849"
ZCTA5 24347,
    ZCTA5 24347,"1,767"
ZCTA5 24348,
    ZCTA5 24348,"4,725"
ZCTA5 24350,
    ZCTA5 24350,"1,173"
ZCTA5 24351,
    ZCTA5 24351,528
ZCTA5 24352,
    ZCTA5 24352,929
ZCTA5 24354,
    ZCTA5 24354,"14,446"
ZCTA5 24360,
    ZCTA5 24360,"5,653"
ZCTA5 24361,
    ZCTA5 24361,"4,555"
ZCTA5 24363,
    ZCTA5 24363,"1,242"
ZCTA5 24366,
    ZCTA5 24366,631
ZCTA5 24368,
    ZCTA5 24368,"4,896"
ZCTA5 24370,
    ZCTA5 24370,"5,832"
ZCTA5 24374,
    ZCTA5 24374,705
ZCTA5 24375,
    ZCTA5 24375,"1,451"
ZCTA5 24377,
    ZCTA5 24377,278
ZCTA5 24378,
    ZCTA5 24378,"1,065"
ZCTA5 24380,
    ZCTA5 24380,"2,696"
ZCTA5 24381,
    ZCTA5 24381,"3,657"
ZCTA5 24382,
    ZCTA5 24382,"14,109"
ZCTA5 24401,
    ZCTA5 24401,"38,522"
ZCTA5 24411,
    ZCTA5 24411,35
ZCTA5 24412,
    ZCTA5 24412,106
ZCTA5 24413,
    ZCTA5 24413,220
ZCTA5 24415,
    ZCTA5 24415,63
ZCTA5 24416,
    ZCTA5 24416,"8,888"
ZCTA5 24421,
    ZCTA5 24421,"3,723"
ZCTA5 24422,
    ZCTA5 24422,"5,821"
ZCTA5 24426,
    ZCTA5 24426,"13,695"
ZCTA5 24430,
    ZCTA5 24430,"2,858"
ZCTA5 24431,
    ZCTA5 24431,"2,712"
ZCTA5 24432,
    ZCTA5 24432,283
ZCTA5 24433,
    ZCTA5 24433,96
ZCTA5 24435,
    ZCTA5 24435,"1,695"
ZCTA5 24437,
    ZCTA5 24437,"1,048"
ZCTA5 24439,
    ZCTA5 24439,"1,119"
ZCTA5 24440,
    ZCTA5 24440,"2,742"
ZCTA5 24441,
    ZCTA5 24441,"6,327"
ZCTA5 24442,
    ZCTA5 24442,88
ZCTA5 24445,
    ZCTA5 24445,"2,289"
ZCTA5 24448,
    ZCTA5 24448,311
ZCTA5 24450,
    ZCTA5 24450,"17,654"
ZCTA5 24457,
    ZCTA5 24457,372
ZCTA5 24458,
    ZCTA5 24458,364
ZCTA5 24459,
    ZCTA5 24459,734
ZCTA5 24460,
    ZCTA5 24460,"1,493"
ZCTA5 24464,
    ZCTA5 24464,138
ZCTA5 24465,
    ZCTA5 24465,"1,305"
ZCTA5 24467,
    ZCTA5 24467,"2,204"
ZCTA5 24469,
    ZCTA5 24469,16
ZCTA5 24471,
    ZCTA5 24471,"1,471"
ZCTA5 24472,
    ZCTA5 24472,"2,501"
ZCTA5 24473,
    ZCTA5 24473,871
ZCTA5 24474,
    ZCTA5 24474,360
ZCTA5 24476,
    ZCTA5 24476,315
ZCTA5 24477,
    ZCTA5 24477,"11,269"
ZCTA5 24479,
    ZCTA5 24479,"1,485"
ZCTA5 24482,
    ZCTA5 24482,"5,200"
ZCTA5 24483,
    ZCTA5 24483,670
ZCTA5 24484,
    ZCTA5 24484,699
ZCTA5 24485,
    ZCTA5 24485,438
ZCTA5 24486,
    ZCTA5 24486,"3,826"
ZCTA5 24487,
    ZCTA5 24487,286
ZCTA5 24501,
    ZCTA5 24501,"27,160"
ZCTA5 24502,
    ZCTA5 24502,"41,058"
ZCTA5 24503,
    ZCTA5 24503,"19,810"
ZCTA5 24504,
    ZCTA5 24504,"9,585"
ZCTA5 24515,
    ZCTA5 24515,"6,685"
ZCTA5 24517,
    ZCTA5 24517,"5,306"
ZCTA5 24520,
    ZCTA5 24520,"2,308"
ZCTA5 24521,
    ZCTA5 24521,"9,902"
ZCTA5 24522,
    ZCTA5 24522,"10,041"
ZCTA5 24523,
    ZCTA5 24523,"18,992"
ZCTA5 24526,
    ZCTA5 24526,"1,408"
ZCTA5 24527,
    ZCTA5 24527,"2,796"
ZCTA5 24528,
    ZCTA5 24528,"2,994"
ZCTA5 24529,
    ZCTA5 24529,"1,532"
ZCTA5 24530,
    ZCTA5 24530,"1,062"
ZCTA5 24531,
    ZCTA5 24531,"8,836"
ZCTA5 24534,
    ZCTA5 24534,"1,471"
ZCTA5 24536,
    ZCTA5 24536,317
ZCTA5 24538,
    ZCTA5 24538,"4,729"
ZCTA5 24539,
    ZCTA5 24539,124
ZCTA5 24540,
    ZCTA5 24540,"32,094"
ZCTA5 24541,
    ZCTA5 24541,"27,529"
ZCTA5 24549,
    ZCTA5 24549,"4,121"
ZCTA5 24550,
    ZCTA5 24550,"7,772"
ZCTA5 24551,
    ZCTA5 24551,"25,601"
ZCTA5 24553,
    ZCTA5 24553,"1,827"
ZCTA5 24554,
    ZCTA5 24554,"3,952"
ZCTA5 24555,
    ZCTA5 24555,"2,012"
ZCTA5 24556,
    ZCTA5 24556,"3,357"
ZCTA5 24557,
    ZCTA5 24557,"7,550"
ZCTA5 24558,
    ZCTA5 24558,"6,036"
ZCTA5 24562,
    ZCTA5 24562,467
ZCTA5 24563,
    ZCTA5 24563,"5,028"
ZCTA5 24565,
    ZCTA5 24565,907
ZCTA5 24566,
    ZCTA5 24566,"1,325"
ZCTA5 24569,
    ZCTA5 24569,938
ZCTA5 24570,
    ZCTA5 24570,41
ZCTA5 24571,
    ZCTA5 24571,"1,904"
ZCTA5 24572,
    ZCTA5 24572,"16,399"
ZCTA5 24574,
    ZCTA5 24574,"3,868"
ZCTA5 24577,
    ZCTA5 24577,"4,821"
ZCTA5 24578,
    ZCTA5 24578,"1,043"
ZCTA5 24579,
    ZCTA5 24579,"1,304"
ZCTA5 24580,
    ZCTA5 24580,582
ZCTA5 24581,
    ZCTA5 24581,38
ZCTA5 24586,
    ZCTA5 24586,"5,124"
ZCTA5 24588,
    ZCTA5 24588,"9,196"
ZCTA5 24589,
    ZCTA5 24589,"2,092"
ZCTA5 24590,
    ZCTA5 24590,"7,909"
ZCTA5 24592,
    ZCTA5 24592,"13,453"
ZCTA5 24593,
    ZCTA5 24593,"2,132"
ZCTA5 24594,
    ZCTA5 24594,"1,595"
ZCTA5 24595,
    ZCTA5 24595,522
ZCTA5 24597,
    ZCTA5 24597,"1,171"
ZCTA5 24598,
    ZCTA5 24598,"1,785"
ZCTA5 24599,
    ZCTA5 24599,621
ZCTA5 24601,
    ZCTA5 24601,59
ZCTA5 24602,
    ZCTA5 24602,787
ZCTA5 24603,
    ZCTA5 24603,804
ZCTA5 24604,
    ZCTA5 24604,167
ZCTA5 24605,
    ZCTA5 24605,"9,104"
ZCTA5 24606,
    ZCTA5 24606,158
ZCTA5 24607,
    ZCTA5 24607,322
ZCTA5 24609,
    ZCTA5 24609,"6,620"
ZCTA5 24612,
    ZCTA5 24612,293
ZCTA5 24613,
    ZCTA5 24613,849
ZCTA5 24614,
    ZCTA5 24614,"7,252"
ZCTA5 24620,
    ZCTA5 24620,"2,208"
ZCTA5 24622,
    ZCTA5 24622,987
ZCTA5 24630,
    ZCTA5 24630,"5,971"
ZCTA5 24631,
    ZCTA5 24631,"2,578"
ZCTA5 24634,
    ZCTA5 24634,446
ZCTA5 24635,
    ZCTA5 24635,766
ZCTA5 24637,
    ZCTA5 24637,"3,302"
ZCTA5 24639,
    ZCTA5 24639,"3,099"
ZCTA5 24641,
    ZCTA5 24641,"5,377"
ZCTA5 24646,
    ZCTA5 24646,607
ZCTA5 24649,
    ZCTA5 24649,"2,242"
ZCTA5 24651,
    ZCTA5 24651,"5,976"
ZCTA5 24656,
    ZCTA5 24656,"2,875"
ZCTA5 24657,
    ZCTA5 24657,258
ZCTA5 27048,
    ZCTA5 27048,"7,910"
ZCTA5 28675,
    ZCTA5 28675,"6,138"
ZCTA5 37642,
    ZCTA5 37642,"15,041"
ZCTA5 37752,
    ZCTA5 37752,"6,421"
