Label (Grouping),Total
ZCTA5 22437,
    ZCTA5 22437,694
ZCTA5 22438,
    ZCTA5 22438,426
ZCTA5 22443,
    ZCTA5 22443,"9,151"
ZCTA5 22448,
    ZCTA5 22448,724
ZCTA5 22454,
    ZCTA5 22454,"1,994"
ZCTA5 22460,
    ZCTA5 22460,"1,817"
ZCTA5 22469,
    ZCTA5 22469,"1,722"
ZCTA5 22472,
    ZCTA5 22472,"1,023"
ZCTA5 22473,
    ZCTA5 22473,"5,409"
ZCTA5 22476,
    ZCTA5 22476,333
ZCTA5 22480,
    ZCTA5 22480,850
ZCTA5 22482,
    ZCTA5 22482,"2,794"
ZCTA5 22485,
    ZCTA5 22485,"26,025"
ZCTA5 22488,
    ZCTA5 22488,"1,211"
ZCTA5 22503,
    ZCTA5 22503,"3,997"
ZCTA5 22504,
    ZCTA5 22504,251
ZCTA5 22508,
    ZCTA5 22508,"14,748"
ZCTA5 22509,
    ZCTA5 22509,74
ZCTA5 22511,
    ZCTA5 22511,"1,143"
ZCTA5 22514,
    ZCTA5 22514,"2,605"
ZCTA5 22520,
    ZCTA5 22520,"5,659"
ZCTA5 22529,
    ZCTA5 22529,276
ZCTA5 22534,
    ZCTA5 22534,"3,102"
ZCTA5 22535,
    ZCTA5 22535,667
ZCTA5 22538,
    ZCTA5 22538,255
ZCTA5 22539,
    ZCTA5 22539,"2,113"
ZCTA5 22542,
    ZCTA5 22542,"2,048"
ZCTA5 22546,
    ZCTA5 22546,"17,757"
ZCTA5 22548,
    ZCTA5 22548,88
ZCTA5 22551,
    ZCTA5 22551,"21,236"
ZCTA5 22553,
    ZCTA5 22553,"16,476"
ZCTA5 22554,
    ZCTA5 22554,"64,354"
ZCTA5 22556,
    ZCTA5 22556,"29,688"
ZCTA5 22560,
    ZCTA5 22560,"6,465"
ZCTA5 22567,
    ZCTA5 22567,"2,949"
ZCTA5 22572,
    ZCTA5 22572,"6,283"
ZCTA5 22576,
    ZCTA5 22576,"1,672"
ZCTA5 22578,
    ZCTA5 22578,"2,449"
ZCTA5 22580,
    ZCTA5 22580,"5,293"
ZCTA5 22601,
    ZCTA5 22601,"29,720"
ZCTA5 22602,
    ZCTA5 22602,"30,865"
ZCTA5 22603,
    ZCTA5 22603,"16,298"
ZCTA5 22610,
    ZCTA5 22610,"2,125"
ZCTA5 22611,
    ZCTA5 22611,"9,176"
ZCTA5 22620,
    ZCTA5 22620,"2,595"
ZCTA5 22623,
    ZCTA5 22623,660
ZCTA5 22624,
    ZCTA5 22624,"2,595"
ZCTA5 22625,
    ZCTA5 22625,"3,784"
ZCTA5 22627,
    ZCTA5 22627,668
ZCTA5 22630,
    ZCTA5 22630,"33,829"
ZCTA5 22637,
    ZCTA5 22637,"2,122"
ZCTA5 22639,
    ZCTA5 22639,664
ZCTA5 22640,
    ZCTA5 22640,498
ZCTA5 22641,
    ZCTA5 22641,299
ZCTA5 22642,
    ZCTA5 22642,"4,701"
ZCTA5 22643,
    ZCTA5 22643,362
ZCTA5 22644,
    ZCTA5 22644,"2,381"
ZCTA5 22645,
    ZCTA5 22645,"4,208"
ZCTA5 22646,
    ZCTA5 22646,80
ZCTA5 22650,
    ZCTA5 22650,962
ZCTA5 22652,
    ZCTA5 22652,"1,535"
ZCTA5 22654,
    ZCTA5 22654,894
ZCTA5 22655,
    ZCTA5 22655,"22,395"
ZCTA5 22656,
    ZCTA5 22656,"5,454"
ZCTA5 22657,
    ZCTA5 22657,"11,974"
ZCTA5 22660,
    ZCTA5 22660,"1,715"
ZCTA5 22663,
    ZCTA5 22663,"1,761"
ZCTA5 22664,
    ZCTA5 22664,"9,383"
ZCTA5 22701,
    ZCTA5 22701,"37,411"
ZCTA5 22709,
    ZCTA5 22709,945
ZCTA5 22711,
    ZCTA5 22711,148
ZCTA5 22712,
    ZCTA5 22712,"10,587"
ZCTA5 22713,
    ZCTA5 22713,"1,454"
ZCTA5 22714,
    ZCTA5 22714,921
ZCTA5 22715,
    ZCTA5 22715,"1,124"
ZCTA5 22716,
    ZCTA5 22716,883
ZCTA5 22718,
    ZCTA5 22718,690
ZCTA5 22719,
    ZCTA5 22719,312
ZCTA5 22720,
    ZCTA5 22720,916
ZCTA5 22722,
    ZCTA5 22722,238
ZCTA5 22723,
    ZCTA5 22723,114
ZCTA5 22724,
    ZCTA5 22724,"2,400"
ZCTA5 22725,
    ZCTA5 22725,38
ZCTA5 22726,
    ZCTA5 22726,766
ZCTA5 22727,
    ZCTA5 22727,"5,495"
ZCTA5 22728,
    ZCTA5 22728,"3,133"
ZCTA5 22729,
    ZCTA5 22729,"1,192"
ZCTA5 22730,
    ZCTA5 22730,157
ZCTA5 22731,
    ZCTA5 22731,316
ZCTA5 22732,
    ZCTA5 22732,325
ZCTA5 22733,
    ZCTA5 22733,"1,391"
ZCTA5 22734,
    ZCTA5 22734,"3,470"
ZCTA5 22735,
    ZCTA5 22735,"2,259"
ZCTA5 22736,
    ZCTA5 22736,620
ZCTA5 22737,
    ZCTA5 22737,"3,382"
ZCTA5 22738,
    ZCTA5 22738,"1,225"
ZCTA5 22740,
    ZCTA5 22740,"1,240"
ZCTA5 22741,
    ZCTA5 22741,226
ZCTA5 22742,
    ZCTA5 22742,"1,726"
ZCTA5 22743,
    ZCTA5 22743,145
ZCTA5 22746,
    ZCTA5 22746,216
ZCTA5 22747,
    ZCTA5 22747,"1,081"
ZCTA5 22749,
    ZCTA5 22749,469
