Cluster,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
0,26.25988502297228,12.950535887595887,9.293757630445548,41.795724192502945,9.700097266483343
1,28.027102933469745,34.402573511158394,14.672740656805189,10.272462321711126,12.625120576855542
2,21.507567952379137,11.3137841423996,49.50938708594553,9.961064783879264,7.708196035396471
3,62.9261679405392,10.428242846050178,15.669006519995179,5.409360937384723,5.567221756030719
4,0.0,0.0,0.0,0.0,0.0
5,33.84259455619497,17.090805691170363,21.40643138703673,11.711106403709476,15.949061961888466
6,15.512528974152584,10.936309897673652,10.869711460630171,9.668767080248008,53.01268258729558
