ZIP,Total Employed Civillians Above 16,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
22652,693,245,181,61,74,132
22654,449,227,127,30,9,56
22655,11269,4424,1909,2543,1043,1350
22656,2080,821,281,451,252,275
22657,4759,1262,965,1071,508,953
22660,996,181,235,133,207,240
22663,363,84,77,52,44,106
22664,4703,1171,923,1145,519,945
22701,17403,6361,3166,3810,1959,2107
22709,651,258,100,89,138,66
22711,0,0,0,0,0,0
22712,4579,1524,847,1144,531,533
22713,991,339,146,147,140,219
22714,442,181,58,84,57,62
22715,491,162,36,140,101,52
22716,494,220,88,164,22,0
22718,234,51,19,35,86,43
22719,81,0,12,0,69,0
22720,581,317,48,59,149,8
22722,268,16,134,61,57,0
22723,14,14,0,0,0,0
22724,1316,433,228,356,157,142
22726,426,111,45,80,129,61
22727,2827,1053,468,796,180,330
22728,1308,516,140,233,210,209
22729,137,30,10,8,60,29
22730,111,86,0,25,0,0
22731,12,12,0,0,0,0
22732,52,52,0,0,0,0
22733,752,382,99,135,39,97
22734,1966,577,553,408,146,282
22735,1222,265,267,286,216,188
22736,295,12,71,45,35,132
22737,1652,279,494,321,395,163
22738,630,264,55,165,33,113
22740,508,207,133,58,80,30
22741,79,39,0,0,40,0
22742,884,198,153,253,145,135
22743,32,32,0,0,0,0
22747,543,216,92,158,54,23
22749,141,85,24,32,0,0
22801,19413,7504,4301,3682,953,2973
22802,15241,4832,2474,2833,2309,2793
22807,790,112,429,207,23,19
22810,294,120,54,57,44,19
22811,251,42,25,59,30,95
22812,4384,1561,993,703,421,706
22815,4733,1312,728,1097,683,913
22820,127,53,0,33,0,41
22821,3037,998,642,544,368,485
22824,2985,834,445,565,430,711
22827,5384,1396,820,1426,880,862
22830,969,193,328,60,93,295
22831,565,203,154,79,71,58
22832,381,79,60,32,139,71
22834,525,174,73,54,151,73
22835,5790,1398,1291,1096,907,1098
22840,2652,922,423,528,260,519
22841,1595,602,281,307,155,250
22842,2715,825,537,545,424,384
22843,1443,630,215,279,204,115
22844,2157,621,644,410,190,292
22845,8,8,0,0,0,0
22846,807,334,120,225,40,88
22847,383,148,12,77,107,39
22849,2269,502,532,434,313,488
22850,598,157,99,160,62,120
22851,2674,510,746,840,254,324
22853,2079,460,415,453,206,545
22901,18068,10152,3053,3027,503,1333
22902,14707,7867,2599,2235,916,1090
22903,18956,11446,3330,2583,843,754
22904,1255,546,458,200,6,45
22911,9434,5263,1362,1806,501,502
22920,2176,906,384,454,200,232
22922,1013,343,149,272,105,144
22923,3397,1603,401,939,320,134
22931,116,89,14,0,12,1
22932,3675,2264,409,678,229,95
22935,306,60,82,55,94,15
22936,2511,1661,211,305,191,143
22937,1023,411,149,306,91,66
22938,482,173,180,19,68,42
