ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
22734,1981,419,571,608,383
22735,1330,243,550,422,115
22736,508,118,117,222,51
22737,1700,224,753,410,313
22738,620,22,94,272,232
22740,461,29,223,85,124
22741,102,40,0,14,48
22742,1043,119,440,293,191
22743,54,0,0,0,54
22747,538,63,118,63,294
22749,114,0,25,27,62
22801,16269,1834,3420,3686,7329
22802,16137,3170,5383,3128,4456
22807,0,0,0,0,0
22810,262,0,82,98,82
22811,287,55,158,24,50
22812,3543,261,978,834,1470
22815,4629,891,1916,969,853
22820,138,0,64,74,0
22821,3055,718,1049,670,618
22824,3247,225,1534,830,658
22827,5527,806,2419,1623,679
22830,1064,242,478,201,143
22831,564,108,299,73,84
22832,367,92,74,79,122
22834,474,27,220,112,115
22835,6273,865,2713,1594,1101
22840,2803,119,750,681,1253
22841,1515,219,592,345,359
22842,2941,311,1319,876,435
22843,1172,245,411,172,344
22844,2279,206,939,561,573
22845,0,0,0,0,0
22846,840,62,233,202,343
22847,424,37,158,160,69
22849,2566,270,1203,844,249
22850,763,71,293,218,181
22851,3152,523,1600,725,304
22853,2399,339,1167,448,445
22901,18299,1124,1864,4353,10958
22902,15556,1439,3014,2737,8366
22903,18716,1262,2239,2689,12526
22904,175,0,33,0,142
22911,9532,643,1329,1877,5683
22920,1878,183,447,382,866
22922,1169,175,463,167,364
22923,3308,79,856,1048,1325
22931,111,3,9,0,99
22932,4050,111,557,579,2803
22935,354,28,120,147,59
22936,2527,150,263,334,1780
22937,1047,128,207,420,292
22938,564,61,255,103,145
22939,3276,217,780,1025,1254
22940,537,81,149,50,257
22942,5491,382,1773,2055,1281
22943,255,37,46,27,145
22946,111,16,36,0,59
22947,1875,167,284,337,1087
22948,12,0,12,0,0
22949,695,137,319,126,113
22952,1184,26,505,493,160
22958,804,19,163,202,420
22959,894,105,191,191,407
22960,5509,597,2636,1411,865
22963,8220,378,1709,2655,3478
22964,83,0,20,17,46
22967,1013,147,626,78,162
22968,5902,410,1678,1798,2016
22969,822,70,447,125,180
22971,929,225,322,255,127
22972,68,0,0,11,57
22973,2557,460,919,693,485
22974,3251,397,976,955,923
22976,187,31,86,50,20
22980,16519,1717,6220,4154,4428
22989,0,0,0,0,0
23002,5443,686,2404,1243,1110
23004,496,58,327,109,2
23005,8632,561,2038,2430,3603
23009,3737,78,1297,1588,774
23011,1031,243,354,244,190
23015,2168,174,644,470,880
23021,157,46,66,0,45
23022,391,39,240,27,85
23023,436,0,239,62,135
23024,5380,325,1828,1420,1807
23025,62,0,43,0,19
23027,516,108,159,179,70
23030,2496,432,976,671,417
23032,195,9,61,93,32
23035,681,48,184,313,136
23038,856,75,268,290,223
23039,583,44,64,238,237
23040,2585,163,1075,926,421
23043,683,179,234,140,130
23045,0,0,0,0,0
23047,775,84,188,187,316
23050,244,32,0,114,98
23055,514,56,62,73,323
23056,251,15,0,120,116
23059,21170,376,1801,3939,15054
23060,19461,1202,2664,4893,10702
23061,11485,1136,3621,4064,2664
23062,1433,138,466,412,417
23063,2521,207,919,773,622
23065,1255,58,392,521,284
23066,173,0,125,48,0
23068,33,0,0,33,0
23069,1714,138,583,625,368
23070,258,0,43,107,108
23071,746,84,172,330,160
23072,6418,632,1920,2388,1478
23075,4704,484,1839,1458,923
23076,338,22,113,22,181
23079,242,31,88,97,26
23083,1225,180,499,344,202
23084,708,37,254,217,200
23085,282,0,114,90,78
23086,1714,82,577,608,447
23089,2923,213,819,1003,888
23091,205,0,69,136,0
23092,290,12,65,85,128
23093,7014,891,2496,1948,1679
23102,1556,20,416,314,806
23103,2802,153,336,406,1907
23106,846,13,385,233,215
23108,58,0,38,14,6
23109,1283,85,418,403,377
23110,510,14,94,93,309
23111,18952,1077,4775,6022,7078
23112,28651,1267,3729,8403,15252
23113,12719,211,1121,2255,9132
23114,9750,407,998,2312,6033
23116,16372,342,2909,4138,8983
23117,5041,584,2089,1331,1037
23119,89,13,65,11,0
23120,6075,129,707,1439,3800
23123,997,75,551,221,150
23124,2486,65,825,818,778
23126,199,11,43,36,109
23128,357,15,134,64,144
23129,256,0,12,87,157
23130,59,0,0,59,0
23138,187,11,80,87,9
23139,13616,803,4127,4042,4644
23140,3445,275,933,986,1251
23141,4344,278,1358,1122,1586
23146,1866,43,373,468,982
23148,854,131,314,236,173
23149,1598,249,592,582,175
23150,6937,663,2668,2289,1317
23153,653,13,141,145,354
23156,616,48,217,294,57
23160,2358,605,1348,362,43
23161,31,0,31,0,0
23163,46,7,39,0,0
23168,4079,131,843,1414,1691
23169,425,40,143,155,87
23173,39,0,8,18,13
23175,679,35,311,177,156
23176,175,22,0,6,147
23177,530,55,72,155,248
23180,404,65,149,140,50
23181,2548,80,695,910,863
23185,22624,1124,4085,6160,11255
23188,20504,977,4133,5690,9704
23192,3800,228,1255,1133,1184
23219,2763,327,195,469,1772
23220,16702,925,2024,3372,10381
23221,10037,177,738,1514,7608
23222,15676,2028,4833,5070,3745
23223,30430,3418,8515,9188,9309
23224,22720,3985,7870,6626,4239
23225,25638,2149,5196,7568,10725
23226,9678,584,513,1291,7290
23227,13895,1298,2964,3476,6157
23228,21260,2282,4923,7012,7043
23229,17818,1074,2425,3534,10785
23230,4518,435,776,1197,2110
23231,21084,1484,6337,8231,5032
23233,17849,331,1283,2871,13364
23234,24621,5299,8534,6778,4010
23235,17041,845,2822,5015,8359
23236,13070,556,3006,4140,5368
23237,14212,2350,4679,4270,2913
23238,13048,492,1785,3414,7357
