ZIP,Total in Working Age,Less than high school graduate,Less than high school graduate~In labor force,Less than high school graduate~In labor force~In Armed Forces,Less than high school graduate~In labor force~Civilian,Less than high school graduate~In labor force~Civilian~Employed,Less than high school graduate~In labor force~Civilian~Unemployed,Less than high school graduate~Not in labor force,High school graduate (includes equivalency),High school graduate (includes equivalency)~In labor force,High school graduate (includes equivalency)~In labor force~In Armed Forces,High school graduate (includes equivalency)~In labor force~Civilian,High school graduate (includes equivalency)~In labor force~Civilian~Employed,High school graduate (includes equivalency)~In labor force~Civilian~Unemployed,High school graduate (includes equivalency)~Not in labor force,Some college or associate's degree,Some college or associate's degree~In labor force,Some college or associate's degree~In labor force~In Armed Forces,Some college or associate's degree~In labor force~Civilian,Some college or associate's degree~In labor force~Civilian~Employed,Some college or associate's degree~In labor force~Civilian~Unemployed,Some college or associate's degree~Not in labor force,Bachelor's degree or higher,Bachelor's degree or higher~In labor force,Bachelor's degree or higher~In labor force~In Armed Forces,Bachelor's degree or higher~In labor force~Civilian,Bachelor's degree or higher~In labor force~Civilian~Employed,Bachelor's degree or higher~In labor force~Civilian~Unemployed,Bachelor's degree or higher~Not in labor force
20129,317,0,0,0,0,0,0,0,14,14,0,14,14,0,0,26,26,0,26,26,0,0,277,229,0,229,229,0,48
20130,114,13,13,0,13,13,0,0,21,6,0,6,6,0,15,7,7,0,7,7,0,0,73,55,0,55,55,0,18
20132,9655,563,402,0,402,402,0,161,1080,892,0,892,877,15,188,2418,2113,0,2113,2038,75,305,5594,4964,46,4918,4736,182,630
20135,1873,31,31,0,31,31,0,0,456,416,0,416,416,0,40,427,371,0,371,355,16,56,959,896,0,896,896,0,63
20136,16952,753,668,0,668,668,0,85,2607,2192,8,2184,2052,132,415,3947,3402,0,3402,3232,170,545,9645,8819,132,8687,8443,244,826
20137,967,69,47,0,47,37,10,22,164,91,0,91,91,0,73,226,200,0,200,200,0,26,508,382,0,382,378,4,126
20141,3737,30,24,0,24,24,0,6,461,380,0,380,380,0,81,935,762,0,762,727,35,173,2311,2070,8,2062,2014,48,241
20143,332,11,0,0,0,0,0,11,70,48,0,48,48,0,22,135,112,0,112,112,0,23,116,79,0,79,79,0,37
20144,464,82,38,0,38,38,0,44,118,97,0,97,97,0,21,115,92,0,92,92,0,23,149,122,0,122,107,15,27
20147,35166,1318,844,0,844,815,29,474,2647,2282,0,2282,2235,47,365,7078,5876,13,5863,5722,141,1202,24123,21561,195,21366,20804,562,2562
20148,30428,1009,468,0,468,430,38,541,1784,1556,18,1538,1508,30,228,3989,3325,7,3318,3187,131,664,23646,21450,120,21330,20911,419,2196
20151,12230,1136,1000,0,1000,991,9,136,1838,1349,0,1349,1336,13,489,2327,1855,0,1855,1775,80,472,6929,6139,32,6107,5912,195,790
20152,21284,744,628,0,628,533,95,116,2185,1676,0,1676,1582,94,509,3457,3034,44,2990,2796,194,423,14898,13694,218,13476,13134,342,1204
20155,18366,505,432,0,432,419,13,73,2904,2087,0,2087,2076,11,817,4914,4118,81,4037,3956,81,796,10043,9028,62,8966,8833,133,1015
20158,2324,58,20,0,20,20,0,38,186,130,0,130,130,0,56,601,487,0,487,463,24,114,1479,1400,120,1280,1257,23,79
20164,22825,4345,3569,0,3569,3408,161,776,4364,3806,12,3794,3633,161,558,5522,4755,30,4725,4556,169,767,8594,7690,45,7645,7326,319,904
20165,18330,597,484,0,484,423,61,113,1537,1124,0,1124,1095,29,413,3483,2964,0,2964,2904,60,519,12713,11518,55,11463,11250,213,1195
20166,7451,684,530,0,530,530,0,154,1184,959,0,959,950,9,225,1285,1184,6,1178,1178,0,101,4298,3973,11,3962,3926,36,325
20169,12778,305,201,0,201,139,62,104,1300,1159,0,1159,1093,66,141,3394,2671,55,2616,2556,60,723,7779,6928,44,6884,6839,45,851
20170,24943,3513,3244,0,3244,3222,22,269,3333,2893,0,2893,2816,77,440,4036,3382,125,3257,3125,132,654,14061,12533,28,12505,12242,263,1528
20171,29157,764,549,0,549,549,0,215,2419,2062,21,2041,1931,110,357,3865,3109,16,3093,3027,66,756,22109,19563,109,19454,19240,214,2546
20175,19962,764,608,0,608,557,51,156,2948,2280,28,2252,2135,117,668,3725,2975,14,2961,2824,137,750,12525,10679,104,10575,10340,235,1846
