ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population_log_ratio,Under 5 years_log_ratio,5 to 9 years_log_ratio,10 to 14 years_log_ratio,15 to 19 years_log_ratio,20 to 24 years_log_ratio,25 to 29 years_log_ratio,30 to 34 years_log_ratio,35 to 39 years_log_ratio,40 to 44 years_log_ratio,45 to 49 years_log_ratio,50 to 54 years_log_ratio,55 to 59 years_log_ratio,60 to 64 years_log_ratio,65 to 69 years_log_ratio,70 to 74 years_log_ratio,75 to 79 years_log_ratio,80 to 84 years_log_ratio,85 years and over_log_ratio,Total Employed Civillians Above 16,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Cluster,Confidence,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3
20105,15148,354,1230,3183,10381,-0.0405460943943492,0.1925475212519529,-0.010329336513883,-0.2011127625751374,-0.7959881133544782,0.0175059175136143,-0.5798184952529422,-0.0783533142465149,-0.2298734635304082,0.2124772080491404,0.0908536237777513,-0.1508687602421492,0.3651296678576647,-0.3184537311185345,-0.0633271339512733,0.0935260580108234,-0.0845573880280632,4.430816798843313,2.292534757140544,14414,9245,2088,1875,577,629,0,0.9999859556896478,0.9999859556896478,4.041236023353578e-20,1.4044310350701735e-05,0.0
20106,2536,105,782,865,784,-0.0611027475726144,0.0930904230660116,-0.3720491111883204,1.298325588173934,0.1684645221325285,-1.130873150886331,0.4902063365632543,-0.2981533723190761,-0.2298625015629545,-0.4754236967150751,-0.5348211293222072,-0.1979224972364344,0.0,0.3768098523477885,-0.1610117702072031,-0.5175824062288701,-0.5612196375173975,1.187165686009555,-0.2063364329978285,2344,1020,558,284,204,278,0,0.9999688253558672,0.9999688253558672,1.30737030070219e-05,1.8100941124091035e-05,0.0
20109,23888,4588,5484,5946,7870,0.0574570550247877,-0.0134996858023992,0.1228889185014168,0.1215904038589181,-0.0052770571008444,-0.0331091586072789,-0.0269611937280203,0.162953145744285,-0.1903687603211192,0.8379541453225139,0.5025525672727911,0.2253477401637393,-0.1446682420806864,-0.5492236301678082,-0.0294393554506813,-0.0650228999312512,-0.6852420010528322,-0.6082477367734596,-1.655183934222304,23788,8159,4833,4561,4175,2060,1,0.9999962322845755,3.7676089135634897e-06,0.9999962322845755,1.065106113483467e-10,0.0
20110,26546,4306,6890,7183,8167,0.0497635822134778,-0.0860925481898267,-0.0093404064939219,0.2169523967166613,0.3863311535216205,0.1322559364761026,0.0175489746894781,0.114119511761821,0.165942664709914,-0.0225856526487486,0.1329214505501079,0.0658920938087028,0.2307337205808854,-0.4135466132201291,-0.2420010534262173,0.6081539677265528,0.0573144565959804,-0.9044562742271518,-0.9650808960435864,24959,9457,4702,4898,3286,2616,1,0.9999978038590408,2.196137173293282e-06,0.9999978038590408,3.7859817255326334e-12,0.0
20111,20115,4180,5018,5120,5797,0.0675268886829254,-0.0127288910360432,-0.1636129018199836,-0.0269632649697602,0.2466180090482987,0.1754923394319085,-0.1484715860745957,-0.2560913345526492,0.2319541809963654,0.2150849598866893,0.3309920725206172,0.3007541540191338,0.0021621630044954,-0.0195128142235816,0.6291984559596724,-0.3037854800183597,-0.3583471851310937,-0.1823215567939549,-0.1481805128407547,20044,7378,3670,3756,3111,2129,1,0.9999692766975977,3.072305355044919e-05,0.9999692766975977,2.4885221018999914e-10,0.0
20112,14763,536,2184,4580,7463,0.080992228976541,0.4288220396062678,-0.0090909717012523,0.1321330576861896,0.2254085579450615,0.2507587183471829,-0.179048231448986,0.1023140548096614,0.2758320325342849,-0.3268382507400789,-0.1006541533934166,0.1338713167114171,0.1936597228318843,0.1540001340987089,-0.0910420152557991,-0.3057412539901785,0.8494437839574802,-0.861769892995738,0.3237870770938968,13759,7602,1971,2588,1034,564,1,0.9999711967968548,2.8803165409672106e-05,0.9999711967968548,3.773549340313302e-11,0.0
20115,4012,343,913,1213,1543,-0.0484788801202249,0.3980301296206461,0.7180152471379593,0.1062222132553074,-0.6328879890417483,-0.2253072737595207,0.3209077200801014,-0.4808145453499515,0.6216000292678974,-0.4837969513780713,0.1131426560998809,-0.3073732853419626,0.104965180606225,-0.2719337154836418,-0.3249534672490126,0.4018744399774352,-0.3298276939025442,-0.328504066972036,-0.6061358035703153,4172,1789,586,840,562,395,1,0.9981808195726175,0.0018191763942808359,0.9981808195726175,4.033101424229965e-09,0.0
20117,1401,66,163,502,670,-0.2881320162164016,-0.9772514316638428,-0.368907512374367,0.2205427696141519,-2.032294763254134,-3.13549421592915,-0.5753641449035616,-0.0903840614682689,-1.239690886928015,0.5937747067467414,-0.9789893260897192,-0.761200643804961,0.1372011215134856,-0.1580892434061862,0.9019019944220554,-0.1193467576325657,0.280301965154158,-0.0784716154414955,-0.8209805520698299,1191,568,161,362,31,69,0,0.9997840197848576,0.9997840197848576,1.4510892295933457e-31,0.00021598021514123548,0.0
20119,2338,374,518,741,705,0.2332192033029514,1.227229666490203,2.51022445777229,-0.1625189294977742,0.5483162326814899,0.5174154334450458,-0.2523427060064716,0.6268977950187447,0.3081479030440723,0.7633514392331939,-0.9886113934537808,-0.0626711069627754,-0.0272921422880072,-0.0168071183163807,0.2145598076228179,-0.150282203049338,-0.6350395497526646,2.022283127839887,-4.276666119016055,2330,1104,288,458,236,244,0,0.9999433823312087,0.9999433823312087,3.456617841834815e-30,5.661766879258176e-05,0.0
20120,23546,1017,2965,4627,14937,0.0008321775792321,0.1497296557924903,-0.3905576630453682,-0.010845401360048,-0.030950246041101,0.3104040253284186,0.1210484208408457,0.0219253606289653,-0.1117245458321862,-0.0763129529734572,0.1673725560034373,-0.3944612796048705,-0.1740442203468291,0.2378091141706653,-0.0516570535829767,0.4827235912452963,0.5985312041850959,-0.6425034477411904,0.3542768612547196,23749,14074,2571,4653,1035,1416,1,0.9999977915125287,2.208484703630818e-06,0.9999977915125287,2.768034318110909e-12,0.0
