Cluster,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
0,5.778214134882644,26.482585046749545,42.14692145572862,25.592279362639193
1,6.09789721359464,70.8566591595728,12.992683449236544,10.052760177596005
2,5.01686320666695,13.06523717605639,17.681501304980248,55.98397112783039
3,47.141756987559354,26.506813202501974,19.69730845174607,6.6541213581926035
4,13.842533158281759,39.15307630754706,29.35369921010698,17.650691324064198
