ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Cluster
22601,14832,1792,3722,4388,4930,4
22602,15895,1418,4897,4929,4651,0
22603,7976,877,2974,2302,1823,4
22610,699,67,363,205,64,4
22611,4644,353,1211,1417,1663,0
22620,1524,135,369,457,563,0
22623,496,74,106,257,59,0
22624,1524,169,521,404,430,4
22625,1827,82,665,622,458,0
22627,350,0,121,53,176,2
22630,17957,1867,6543,5588,3959,4
22637,1173,311,466,234,162,4
22639,242,21,45,104,72,0
22640,137,16,43,34,44,4
22641,128,0,29,72,27,0
22642,2757,319,729,1107,602,0
22643,168,0,19,54,95,2
22644,1250,118,521,375,236,4
22645,2158,211,773,665,509,4
22646,13,0,0,13,0,0
22650,274,15,116,37,106,4
22652,736,78,280,232,146,4
22654,505,79,87,139,200,2
22655,11686,1190,3313,3855,3328,0
22656,2066,164,502,737,663,0
22657,5249,432,1875,1923,1019,0
22660,1161,188,650,227,96,4
22663,323,55,57,94,117,4
22664,4478,536,1505,1406,1031,4
22701,17985,2102,5056,6237,4590,0
22709,711,16,237,291,167,0
22711,0,0,0,0,0,2
22712,4712,592,1379,1764,977,4
22713,789,115,341,220,113,4
22714,441,38,164,107,132,4
22715,625,38,193,166,228,0
22716,496,0,81,313,102,0
22718,414,79,169,67,99,4
22719,26,0,26,0,0,1
22720,591,18,254,176,143,4
22722,139,0,68,71,0,0
22723,14,0,0,0,14,2
22724,1252,50,259,520,423,0
22726,536,9,307,185,35,1
22727,3081,282,1224,830,745,4
22728,1329,115,444,471,299,0
22729,1146,309,554,238,45,4
22730,86,0,40,46,0,0
22731,12,0,0,0,12,2
22732,65,0,0,0,65,2
22733,694,76,298,148,172,4
22734,1981,419,571,608,383,4
22735,1330,243,550,422,115,4
22736,508,118,117,222,51,4
22737,1700,224,753,410,313,4
22738,620,22,94,272,232,0
22740,461,29,223,85,124,4
22741,102,40,0,14,48,3
22742,1043,119,440,293,191,4
22743,54,0,0,0,54,2
22747,538,63,118,63,294,2
22749,114,0,25,27,62,2
22801,16269,1834,3420,3686,7329,2
22802,16137,3170,5383,3128,4456,4
22807,0,0,0,0,0,2
22810,262,0,82,98,82,0
22811,287,55,158,24,50,1
22812,3543,261,978,834,1470,2
22815,4629,891,1916,969,853,4
22820,138,0,64,74,0,0
22821,3055,718,1049,670,618,4
22824,3247,225,1534,830,658,4
22827,5527,806,2419,1623,679,4
22830,1064,242,478,201,143,4
22831,564,108,299,73,84,4
22832,367,92,74,79,122,4
22834,474,27,220,112,115,4
22835,6273,865,2713,1594,1101,4
22840,2803,119,750,681,1253,2
22841,1515,219,592,345,359,4
22842,2941,311,1319,876,435,4
22843,1172,245,411,172,344,4
22844,2279,206,939,561,573,4
22845,0,0,0,0,0,2
22846,840,62,233,202,343,2
22847,424,37,158,160,69,4
22849,2566,270,1203,844,249,4
22850,763,71,293,218,181,4
22851,3152,523,1600,725,304,4
22853,2399,339,1167,448,445,4
22901,18299,1124,1864,4353,10958,2
22902,15556,1439,3014,2737,8366,2
22903,18716,1262,2239,2689,12526,2
22904,175,0,33,0,142,2
22911,9532,643,1329,1877,5683,2
22920,1878,183,447,382,866,2
22922,1169,175,463,167,364,4
22923,3308,79,856,1048,1325,0
22931,111,3,9,0,99,2
22932,4050,111,557,579,2803,2
22935,354,28,120,147,59,0
22936,2527,150,263,334,1780,2
22937,1047,128,207,420,292,0
22938,564,61,255,103,145,4
22939,3276,217,780,1025,1254,0
22940,537,81,149,50,257,2
22942,5491,382,1773,2055,1281,0
22943,255,37,46,27,145,2
22946,111,16,36,0,59,2
22947,1875,167,284,337,1087,2
22948,12,0,12,0,0,1
22949,695,137,319,126,113,4
22952,1184,26,505,493,160,0
22958,804,19,163,202,420,2
22959,894,105,191,191,407,2
22960,5509,597,2636,1411,865,4
22963,8220,378,1709,2655,3478,0
22964,83,0,20,17,46,2
22967,1013,147,626,78,162,1
22968,5902,410,1678,1798,2016,0
22969,822,70,447,125,180,1
22971,929,225,322,255,127,4
22972,68,0,0,11,57,2
22973,2557,460,919,693,485,4
22974,3251,397,976,955,923,4
22976,187,31,86,50,20,4
22980,16519,1717,6220,4154,4428,4
22989,0,0,0,0,0,2
23002,5443,686,2404,1243,1110,4
23004,496,58,327,109,2,1
23005,8632,561,2038,2430,3603,2
23009,3737,78,1297,1588,774,0
23011,1031,243,354,244,190,4
23015,2168,174,644,470,880,2
23021,157,46,66,0,45,4
23022,391,39,240,27,85,1
23023,436,0,239,62,135,1
23024,5380,325,1828,1420,1807,4
23025,62,0,43,0,19,1
23027,516,108,159,179,70,4
23030,2496,432,976,671,417,4
23032,195,9,61,93,32,0
23035,681,48,184,313,136,0
23038,856,75,268,290,223,0
23039,583,44,64,238,237,0
23040,2585,163,1075,926,421,4
23043,683,179,234,140,130,4
23045,0,0,0,0,0,2
23047,775,84,188,187,316,2
23050,244,32,0,114,98,0
23055,514,56,62,73,323,2
23056,251,15,0,120,116,0
23059,21170,376,1801,3939,15054,2
23060,19461,1202,2664,4893,10702,2
23061,11485,1136,3621,4064,2664,0
23062,1433,138,466,412,417,4
23063,2521,207,919,773,622,4
23065,1255,58,392,521,284,0
23066,173,0,125,48,0,1
23068,33,0,0,33,0,0
23069,1714,138,583,625,368,0
23070,258,0,43,107,108,0
23071,746,84,172,330,160,0
23072,6418,632,1920,2388,1478,0
23075,4704,484,1839,1458,923,4
23076,338,22,113,22,181,2
23079,242,31,88,97,26,4
23083,1225,180,499,344,202,4
23084,708,37,254,217,200,0
