ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Cluster
24521,4729,486,1565,1420,1258,4
24522,4596,358,1803,1405,1030,4
24523,10241,1065,3619,3173,2384,4
24526,718,13,191,366,148,0
24527,1590,110,626,612,242,0
24528,1674,298,709,456,211,4
24529,729,156,195,224,154,4
24530,405,47,160,141,57,4
24531,4870,793,1920,1438,719,4
24534,541,103,150,219,69,4
24536,124,0,43,19,62,2
24538,2811,328,1109,683,691,4
24539,60,12,8,40,0,0
24540,15198,1739,4808,5754,2897,4
24541,13985,1482,4618,4653,3232,4
24549,2179,180,676,1048,275,0
24550,4525,271,1724,1269,1261,4
24551,13733,425,2238,4223,6847,2
24553,1068,171,393,350,154,4
24554,1856,193,758,599,306,4
24555,1008,41,545,315,107,4
24556,1415,93,469,445,408,0
24557,4010,874,1534,1050,552,4
24558,3078,564,991,813,710,4
24562,429,48,253,79,49,1
24563,2650,365,1195,766,324,4
24565,435,110,184,76,65,4
24566,556,62,109,326,59,0
24569,478,62,171,106,139,4
24570,0,0,0,0,0,2
24571,1093,140,426,360,167,4
24572,8755,831,3372,2928,1624,4
24574,2104,224,797,406,677,4
24577,1791,231,833,510,217,4
24578,634,78,208,197,151,4
24579,421,37,305,62,17,1
24580,316,31,137,138,10,4
24581,0,0,0,0,0,2
24586,2550,264,1032,906,348,4
24588,5363,589,2008,1757,1009,4
24589,1437,214,549,453,221,4
24590,4770,532,1214,1560,1464,0
24592,6394,582,2286,2330,1196,4
24593,1401,145,314,585,357,0
24594,525,55,200,129,141,4
24595,96,0,38,26,32,0
24597,639,20,198,333,88,0
24598,986,137,389,314,146,4
24599,402,47,199,57,99,4
24601,0,0,0,0,0,2
24602,490,246,86,114,44,3
24603,442,171,91,161,19,3
24604,95,81,0,14,0,3
24605,3811,287,1371,1312,841,0
24606,64,0,28,0,36,2
24607,165,0,139,26,0,1
24609,3288,327,1016,1407,538,0
24612,67,0,46,9,12,1
24613,461,199,131,131,0,3
24614,3274,620,1125,1017,512,4
24620,1935,437,846,495,157,4
24622,270,54,119,94,3,4
24630,3637,400,1549,1133,555,4
24631,1376,303,495,432,146,4
24634,225,54,81,64,26,4
24635,1120,162,621,281,56,4
24637,1840,205,510,679,446,0
24639,1786,287,712,389,398,4
24641,2603,421,887,797,498,4
24646,383,65,232,86,0,1
24649,1763,276,749,583,155,4
24651,2803,241,964,1099,499,0
24656,1341,323,549,360,109,4
24657,303,102,135,33,33,3
37642,7823,480,3203,2768,1372,4
