ZIP,Population_log_ratio,Under 5 years_log_ratio,5 to 9 years_log_ratio,10 to 14 years_log_ratio,15 to 19 years_log_ratio,20 to 24 years_log_ratio,25 to 29 years_log_ratio,30 to 34 years_log_ratio,35 to 39 years_log_ratio,40 to 44 years_log_ratio,45 to 49 years_log_ratio,50 to 54 years_log_ratio,55 to 59 years_log_ratio,60 to 64 years_log_ratio,65 to 69 years_log_ratio,70 to 74 years_log_ratio,75 to 79 years_log_ratio,80 to 84 years_log_ratio,85 years and over_log_ratio,cluster,pca_1,pca_2,dist_to_centroid_0,dist_to_centroid_1,dist_to_centroid_2
24441,-0.1365042673521284,-0.20731208609752905,0.09431067947124205,0.2876820724517808,-0.33647223662121295,0.11086259281180944,0.3277561237808486,0.0,0.3962484530032402,-0.531391901347467,-0.19448829555383362,-0.32056566432167877,0.04831857727080724,-0.27308327303062896,-0.8296223492284813,-0.11865754380131577,-0.16430305129127643,-1.851351566430301,-0.6325225587435099,1,-0.4747135727642673,0.39935001922061947,2.526662566885656,1.6405875294318117,6.798562026294862
24442,-0.06782259633876109,0.9808292530117262,0.0,2.3978952727983707,0.0,0.0,0.08004270767353638,0.0,0.0,-1.3862943611198906,1.0986122886681098,-0.5108256237659905,-2.70805020110221,-1.2321436812926325,0.0,0.0,0.0,2.302585092994046,0.0,1,-0.9441698226025476,0.09011283838944527,4.739079489975425,4.230902391083621,8.242548212970128
24445,0.10893643151609034,-0.5108256237659905,2.363209714810481,1.5178707189086098,0.7765287894989967,-0.6858744212308654,-0.7955621859880151,2.277267285009756,-1.7917594692280554,1.6174060820832774,-1.5040773967762742,0.07503518594291414,0.6410908186038915,0.0909717782057271,-0.10648348040245015,-0.03681397312271706,0.23457224713783287,-1.6376087894007967,-0.40546510810816416,0,0.1353057563995127,-1.8807816707481027,4.045120684218113,4.12382270580152,7.165926637946843
24448,-0.2493857873745,0.5596157879354227,-0.2876820724517808,0.5260930958967793,-1.5686159179138455,1.5040773967762742,0.24116205681688774,0.13353139262452252,-1.3862943611198904,0.3677247801253176,-0.6931471805599456,-0.08004270767353638,0.5877866649021186,-1.504077396776274,-0.8266785731844679,0.4054651081081646,1.0986122886681098,-0.5596157879354227,-3.1780538303479458,1,-0.5306448497971749,0.6794677062814056,3.8083370638551437,3.585152002293932,7.6099283746192485
24450,0.12866400369819253,0.07665574423252064,0.7009903580209711,-0.3912401171768165,0.344969211270989,0.621621521009696,0.7207478286420583,0.10080469912196577,-0.8138245742426928,0.9714952862212511,0.3106130135156979,-0.3419270873041764,0.2388337670572973,-0.28833460102305875,-0.025752496102414035,-0.5818431110012714,-0.443616874072541,0.05818195538273585,-1.0794912472213305,1,0.4483941366443992,-0.10656425660927507,2.1338835612824685,1.7865737391835506,5.9812543077457025
24457,0.27029032973991196,0.0,0.0,1.791759469228055,0.0,3.4657359027997265,0.0,0.0,3.4339872044851463,-2.0794415416798357,0.0,-0.6720937713621127,3.332204510175204,0.0,0.5108256237659905,-1.791759469228055,0.49247648509779385,2.2686835413183646,-2.564949357461537,1,2.1922531858965795,1.685786302314671,6.858701590912509,6.323709596028457,7.593781981240316
24458,-0.17327172127403667,-2.1972245773362196,0.0,-2.302585092994046,-1.791759469228055,0.0,0.0,-2.302585092994046,1.9459101490553132,2.833213344056216,-1.3862943611198904,-0.2006706954621511,0.8649974374866045,-1.2878542883066384,0.49247648509779385,-1.3862943611198906,-0.15415067982725805,0.0,1.0986122886681098,1,-0.42448620748077115,0.050004473613899814,5.751655945063472,5.1125274103345015,8.24214541627589
24459,0.279122819056111,0.0,-4.007333185232471,0.0,-3.828641396489095,4.5217885770490405,0.0,0.0,0.0,-0.1198011998126205,4.110873864173311,-3.4657359027997265,1.1486227092427712,0.04652001563489305,0.8823891801984738,0.3022808718729335,3.4965075614664802,-2.6390573296152584,0.0,0,2.0503147261434247,4.837911060141245,7.269602481618125,8.357002746167284,9.100889258743743
24460,0.16833531481921504,0.0,0.0,3.332204510175204,0.0,0.0,0.04138521616285473,-3.8501476017100584,0.2006706954621511,0.0,0.5108256237659909,1.5988558031035636,1.562185027583555,-0.8023464725249374,-0.49247648509779385,0.4729063889036973,-0.3254224004346278,0.0,0.0,1,-0.04167011066515796,-0.22373570198430928,5.619752876536742,4.514882606654197,7.771154171475985
24464,-1.1965926970283132,0.0,0.0,0.0,3.044522437723423,0.0,0.0,0.0,0.0,-0.6931471805599454,0.0,-2.3978952727983707,0.0,2.3978952727983707,-2.995732273553991,0.16705408466316607,0.6931471805599456,0.0,-5.003946305945459,1,-1.9460578788870726,-0.01603479216436215,6.41833001323713,6.1230566065222485,10.044098826387376
24465,-0.2799200671162909,2.0014800002101243,-0.8043728156701695,-2.0014800002101243,-0.9162907318741553,-0.5212969236332858,1.2367626271489267,-0.5108256237659905,0.06453852113757108,-0.13353139262452252,0.4418327522790393,-0.931558204004943,-0.3600027340314069,-0.23052365861183244,0.172469260350943,0.061368946376291866,-0.671640975338982,1.55814461804655,-2.474435349920705,1,-0.5617558391623516,1.2823273195368456,4.189471796143364,3.3755242659606672,7.631784928322685
24467,-0.17003693549523113,1.0761394328160514,-0.8589394354026894,-1.4180430594344706,-0.49429632181478045,-0.31015492830383984,1.8718021769015913,-1.252762968495368,-0.1391128024627184,-0.18094319682383286,-2.8903717578961645,-0.2493043773528818,-0.9903987040278768,0.5158131652770299,-0.2027115124970038,1.3217558399823193,0.0,2.9444389791664403,0.0,1,-1.1896750126378564,-1.133268069385443,5.6459931574664575,4.389807458218266,8.420552246535657
24471,-0.04062096929091208,-0.2513144282809061,0.5596157879354227,0.8109302162163288,1.5902065505062128,-0.7801585575495751,-0.9844989819006882,-0.057158413839948796,0.45391749149411176,0.06062462181643502,0.0,-0.43531807125784594,-0.09937247381320446,-0.5845133395571498,1.9568392195875037,-0.8649974374866045,-1.5284688499004337,2.995732273553991,0.0,1,-0.004895272231331503,-0.29758477242399145,4.396874059848933,3.7801283502345178,7.389871743498058
