ZIP,Population_log_ratio,Under 5 years_log_ratio,5 to 9 years_log_ratio,10 to 14 years_log_ratio,15 to 19 years_log_ratio,20 to 24 years_log_ratio,25 to 29 years_log_ratio,30 to 34 years_log_ratio,35 to 39 years_log_ratio,40 to 44 years_log_ratio,45 to 49 years_log_ratio,50 to 54 years_log_ratio,55 to 59 years_log_ratio,60 to 64 years_log_ratio,65 to 69 years_log_ratio,70 to 74 years_log_ratio,75 to 79 years_log_ratio,80 to 84 years_log_ratio,85 years and over_log_ratio,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,pca_1,pca_2
23438,0.160911493,3.218875825,0.587786665,-0.211309094,0.485507816,2.397895273,0.969400557,-0.441832752,0.93237687,-0.125163143,0.771108722,0.499955952,-0.15415068,0.031252544,-0.845416392,0.543615447,-1.609437912,0,-2.397895273,4,1.96E-76,0,0,0.001626929,0.998373071,0.93793316,0.613473091
23440,-0.181599796,-0.980829253,-1.945910149,-0.351397887,-0.810930216,2.397895273,2.564949357,0,-2.397895273,0.083381609,0.268263987,0.287682072,-1.209837924,1.810108608,0.84729786,-0.382992252,-2.48490665,-3.135494216,-2.995732274,3,3.72E-108,0,0,1,2.65E-10,0.148437106,-0.744707898
23441,0,0,0,0,0,0,0,0,0,0,2.995732274,0,-3.091042453,0,0,-2.63905733,2.772588722,0,0,3,4.53E-120,0,0,1,1.36E-13,0.003572993,0.331749518
23442,0.152562117,2.302585093,0.693147181,-1.449473263,5.666426688,3.970291914,0,-3.63758616,-0.465874236,1.945910149,-0.111225635,-0.510825624,-1.360976553,-1.435084525,-0.267062785,-4.025351691,1.609437912,-2.302585093,2.079441542,3,4.96E-252,0,0,1,1.57E-25,0.225510575,0.105875292
23451,-0.080787756,-0.225595689,-0.145273211,0.248547842,-0.145326529,0.018319907,-0.029772158,-0.019080265,0.104442663,-0.039845909,-0.265637092,0.144173178,-0.038714512,-0.177842104,-0.299860209,-0.063794878,0.077692205,-0.576846725,-0.679416988,0,0.999999897,0,0,2.37E-14,1.03E-07,-0.24733884,-0.043583874
23452,-0.059953406,-0.240126324,0.122712679,0.117783036,-0.042665201,0.044664521,-0.051825068,0.359583845,0.073638779,-0.003715175,-0.112740623,-0.251833808,-0.128773255,-0.194236591,-0.14247333,-0.177902637,-0.503428574,-0.384411699,-0.271191711,0,0.999999826,0,0,4.31E-14,1.74E-07,-0.19540333,-0.006797993
23453,-0.038924021,0.158979274,0.276011787,0.469638065,-0.278020162,0.099311655,0.144973065,-0.294814398,0.075767724,-0.228340445,0.112561092,-0.217373195,-0.158477818,0.03514065,-0.31091099,-0.675056235,-1.031718054,-0.807557532,-0.287682072,0,0.999984327,0,0,1.33E-11,1.57E-05,-0.370546834,-0.047582895
23454,-0.001251956,0.097410286,0.105022849,0.351251292,0.253475317,0.161423439,0.234162432,-0.071605222,-0.058307971,0.12403264,-0.114950746,-0.17279675,-0.350339707,-0.01095187,-0.203542198,-0.026811257,-0.22621575,-0.556527777,-0.704912022,0,0.999999848,0,0,4.23E-14,1.52E-07,-0.144186822,-0.172540637
23455,0.02117188,0.425523481,-0.12085254,-0.214280864,0.440644615,0.125131138,0.565727918,0.00159109,0.36011191,0.075186915,-0.102168175,-0.016852438,-0.191816183,-0.098246489,-0.302741518,-0.295344945,-0.759164413,-0.139262067,-0.814127858,0,0.999992373,0,0,3.27E-12,7.63E-06,0.027376806,-0.072463833
23456,-0.006827621,-0.086728211,-0.529136826,-0.110820695,0.317317469,0.402602238,0.292258739,0.161758933,-0.00088968,0.000456517,0.122059444,-0.174792851,-0.017589693,-0.077262811,0.050966444,-0.445512609,0.285178942,-0.547139358,-1.14646831,0,0.999997591,0,0,8.63E-13,2.41E-06,0.184230379,0.280155894
23457,0.022568554,0.473518571,0.936669894,-0.437213806,-0.552789823,-0.448024723,-0.273293335,-0.182321557,0.481388951,-0.139761942,-0.775064303,0.3791478,0.229574442,-0.261122799,0.830348302,0.378436436,-0.898591155,-0.296265816,1.283346392,4,6.41E-06,0,0,1.20E-05,0.999981611,-0.051673871,0.021380535
23459,0.406667754,0.093090423,0.143100844,0.95097629,1.087438988,1.193922468,0.63503955,0.322773392,-0.611801541,3.295836866,-1.609437912,-0.223143551,0,0,0,0,0,0,0,4,2.90E-47,0,0,0.297202516,0.702797484,0.871885621,-2.060999836
23460,1.276007727,0,0,0,1.469788323,0.990398704,3.073850053,3.988984047,0,0,2.079441542,0,0,0,0,0,0,0,0,3,5.79E-205,0,0,1,4.73E-20,3.765206483,-0.010994302
23461,1.354174812,0,0,0,1.408767217,0.99852883,4.025351691,2.995732274,0,0,2.397895273,0,0,0,0,0,0,0,0,3,2.07E-228,0,0,1,1.67E-23,3.873215236,0.090532089
23462,-0.135837117,0.064373382,0.006978395,-0.102253504,-0.364241184,0.049993055,-0.084130835,-0.133577314,-0.238734992,-0.068692796,-0.13318488,-0.158561141,-0.168224157,-0.10628551,-0.359309768,-0.479441709,-0.636090709,0.069920946,-0.169486683,0,0.999999639,0,0,1.13E-13,3.61E-07,-0.546000034,-0.072589983
23464,-0.028678294,0.103930923,0.168541172,0.233808131,0.278841215,0.133024736,-0.376542069,0.118169129,-0.036408182,-0.101020402,-0.149946049,-0.057136191,-0.24476381,0.004233707,-0.269355026,0.055360906,-0.244522578,-0.564384009,-0.046354109,0,0.999999729,0,0,7.87E-14,2.71E-07,-0.225503837,-0.099625124
23480,-0.148180513,0,-1.386294361,0.693147181,-1.609437912,0,-1.609437912,0.559615788,1.098612289,0.693147181,1.386294361,-0.117783036,-1.098612289,2.079441542,-0.693147181,0.133531393,-2.427748236,0.223143551,-0.117783036,3,1.40E-51,0,0,0.999996506,3.49E-06,-0.358817789,-0.710040652
23486,2.995732274,0,0,0,0,0,0,0,0,0,0,0,2.995732274,0,0,0,0,0,0,3,0,0,0,1,1.14E-283,4.134774383,0.142317597
23487,-0.243890428,0.293588764,-0.311533288,-0.637960765,-1.36581583,0.039002158,-0.616774202,-0.812051921,0.138836445,0.347785997,-0.122602322,0.013544225,-0.103462982,-0.288969903,-0.393904286,0.013986242,-0.46536325,-0.693147181,-1.00900013,4,0.053740361,0,0,1.64E-06,0.946257994,-0.845204368,0.466836102
23488,-0.415221283,-2.995732274,0,0,0,0,-2.890371758,-3.80666249,0,5.438079309,-5.624017506,0,-3.36729583,3.761200116,0,-2.890371758,0,0,-2.397895273,2,0,0,1,4.74E-41,9.12E-90,-3.314994599,-6.26445719
23502,0.044960101,-0.034486176,0.464426666,-0.101853278,0.255600761,0.600644302,0.366922131,-0.011944402,0.230038998,-0.216471728,0.251314428,-0.144195135,-0.162099847,-0.107570461,-0.585082394,-0.31038166,-0.471160367,-0.494516886,-0.416160397,0,0.999989081,0,0,6.49E-12,1.09E-05,0.074988142,0.118377064
23503,0.136053709,-0.163866941,-0.279916853,0.353667816,0.203055705,0.992756623,0.193884589,0.165558347,-0.083381609,0.417205444,-0.215650944,0.128962146,0.036039936,-0.034163102,0.491539717,-0.150677248,-0.698656836,-0.787079,-0.482027822,0,0.999879395,0,0,1.96E-10,0.000120604,0.503613348,-0.210945552
23504,-0.240268968,-0.133026724,0.164086886,-0.507044901,-0.285533844,-0.412897876,0.099404572,-0.011507607,-0.036779252,-0.389778512,-0.125802325,-0.280053045,-0.478796381,-0.391562203,0.045401656,-0.946835497,0.053744276,-1.010555433,-0.846116525,0,0.999983741,0,0,1.58E-11,1.63E-05,-0.724417217,0.382875487
